method,missed_branch,covered_branch,total_branch
org.jsoup.parser.Tag.<clinit>,0,14,14
org.jsoup.nodes.Document.text,0,0,0
org.jsoup.parser.Token.isEndTag,0,2,2
org.jsoup.parser.HtmlTreeBuilderState$15.anythingElse,0,0,0
org.jsoup.parser.TokenQueue.consumeWhitespace,0,2,2
org.jsoup.parser.HtmlTreeBuilder.clearStackToTableContext,0,0,0
org.jsoup.parser.HtmlTreeBuilderState$16.<init>,0,0,0
org.jsoup.nodes.Comment.outerHtmlTail,0,0,0
org.jsoup.parser.HtmlTreeBuilder.getDocument,0,0,0
org.jsoup.select.Evaluator$IndexEquals.matches,0,2,2
org.jsoup.parser.HtmlTreeBuilderState$6.anythingElse,0,0,0
org.jsoup.select.Elements.forms,0,4,4
org.jsoup.parser.Token.asEndTag,0,0,0
org.jsoup.select.Evaluator$IsNthOfType.calculatePosition,1,5,6
org.jsoup.helper.HttpConnection.needsMultipart,4,0,4
org.jsoup.parser.TokeniserState$35.<init>,0,0,0
org.jsoup.helper.DescendableLinkedList$DescendingIterator.<init>,0,0,0
org.jsoup.helper.HttpConnection$KeyVal.inputStream,0,0,0
org.jsoup.parser.TokenQueue.remainingLength,0,0,0
org.jsoup.parser.HtmlTreeBuilder.insertInFosterParent,3,3,6
org.jsoup.parser.HtmlTreeBuilderState$17.process,10,0,10
org.jsoup.helper.StringUtil.resolve,0,6,6
org.jsoup.safety.Whitelist.simpleText,0,0,0
org.jsoup.select.CombiningEvaluator.<init>,0,0,0
org.jsoup.parser.HtmlTreeBuilder.inScope,0,0,0
org.jsoup.select.StructuralEvaluator$ImmediateParent.<init>,0,0,0
org.jsoup.select.QueryParser.indexGreaterThan,0,0,0
org.jsoup.parser.Token$Character.toString,0,0,0
org.jsoup.nodes.Document.ensureMetaCharsetElement,5,11,16
org.jsoup.parser.HtmlTreeBuilder.removeFromStack,1,3,4
org.jsoup.select.Evaluator$Id.<init>,0,0,0
org.jsoup.safety.Whitelist.basicWithImages,0,0,0
org.jsoup.parser.TokenQueue.<init>,0,0,0
org.jsoup.nodes.Attribute.hashCode,4,0,4
org.jsoup.parser.HtmlTreeBuilderState.handleRawtext,0,0,0
org.jsoup.nodes.Node.html,0,0,0
org.jsoup.parser.Tokeniser.emit,0,12,12
org.jsoup.helper.StringUtil.isNumeric,1,7,8
org.jsoup.parser.HtmlTreeBuilderState$9.<init>,0,0,0
org.jsoup.select.Evaluator$IsLastOfType.<init>,0,0,0
org.jsoup.nodes.Element.parents,0,0,0
org.jsoup.parser.Token$Tag.reset,0,0,0
org.jsoup.select.Evaluator$Tag.matches,0,0,0
org.jsoup.select.Evaluator$IndexEquals.toString,0,0,0
org.jsoup.nodes.Node.parent,0,0,0
org.jsoup.safety.Whitelist$AttributeValue.<init>,0,0,0
org.jsoup.parser.TokeniserState$41.read,0,5,5
org.jsoup.parser.HtmlTreeBuilderState$16.anythingElse,0,0,0
org.jsoup.parser.XmlTreeBuilder.<init>,0,0,0
org.jsoup.parser.HtmlTreeBuilderState$1.<init>,0,0,0
org.jsoup.parser.HtmlTreeBuilderState$14.process,8,12,20
org.jsoup.parser.Token.isStartTag,0,2,2
org.jsoup.parser.TokeniserState$24.<init>,0,0,0
org.jsoup.parser.TokenQueue.matches,0,0,0
org.jsoup.parser.TokenQueue.consumeWord,0,2,2
org.jsoup.select.CombiningEvaluator$And.matches,0,4,4
org.jsoup.parser.TokeniserState$16.read,0,0,0
org.jsoup.parser.TokeniserState$46.<init>,0,0,0
org.jsoup.parser.Token$Tag.isSelfClosing,0,0,0
org.jsoup.helper.HttpConnection.timeout,0,0,0
org.jsoup.nodes.Node.baseUri,0,0,0
org.jsoup.nodes.Element.removeClass,0,0,0
org.jsoup.parser.TokeniserState$57.read,3,2,5
org.jsoup.parser.TokeniserState$16.<init>,0,0,0
org.jsoup.parser.Tag.equals,10,14,24
org.jsoup.parser.HtmlTreeBuilder.isSpecial,0,0,0
org.jsoup.select.Evaluator$ContainsText.toString,0,0,0
org.jsoup.select.Selector.<init>,0,0,0
org.jsoup.parser.HtmlTreeBuilder.getActiveFormattingElement,0,6,6
org.jsoup.parser.Parser.parseBodyFragment,0,4,4
org.jsoup.parser.HtmlTreeBuilderState$14.anythingElse,0,0,0
org.jsoup.HttpStatusException.getUrl,0,0,0
org.jsoup.parser.Parser.parse,0,0,0
org.jsoup.select.Evaluator$IsEmpty.<init>,0,0,0
org.jsoup.parser.HtmlTreeBuilder.inSelectScope,2,4,6
org.jsoup.select.Elements.html,0,6,6
org.jsoup.parser.HtmlTreeBuilder.insertForm,0,2,2
org.jsoup.nodes.Attributes.equals,2,8,10
org.jsoup.nodes.Element.appendWhitespaceIfBr,0,4,4
org.jsoup.nodes.Attributes.dataKey,0,0,0
org.jsoup.select.QueryParser.indexEquals,0,0,0
org.jsoup.parser.TokeniserState$7.read,3,0,3
org.jsoup.helper.StringUtil.appendNormalisedWhitespace,0,10,10
org.jsoup.nodes.Node.doClone,0,6,6
org.jsoup.parser.HtmlTreeBuilder.reconstructFormattingElements,1,13,14
org.jsoup.nodes.Node.removeChild,1,1,2
org.jsoup.select.CombiningEvaluator$Or.add,0,0,0
org.jsoup.nodes.Node.childNodesAsArray,0,0,0
org.jsoup.select.Evaluator$AttributeWithValueMatching.matches,0,4,4
org.jsoup.nodes.Entities.canEncode,0,5,5
org.jsoup.helper.HttpConnection$Response.parse,0,0,0
org.jsoup.examples.HtmlToPlainText$FormattingVisitor.append,18,0,18
org.jsoup.nodes.TextNode.isBlank,0,0,0
