class,obc(%),omc_obc(%),cov_gap(%)
org.jsoup.parser.TokeniserState$12,100.0,50.0,50.0
org.jsoup.parser.TokeniserState$13,66.66667,25.0,41.66667
org.jsoup.parser.HtmlTreeBuilderState$18,83.33333,50.0,33.33333
org.jsoup.helper.DataUtil,76.190475,46.42857,29.761906
org.jsoup.parser.TokeniserState$14,100.0,50.0,50.0
org.jsoup.parser.HtmlTreeBuilderState$16,48.93617,29.787233,19.148935
org.jsoup.parser.TokeniserState$53,57.14286,14.285715,42.857147
org.jsoup.parser.TreeBuilder,80.0,40.0,40.0
org.jsoup.parser.HtmlTreeBuilderState$14,59.090908,54.545456,4.545452
org.jsoup.parser.TokeniserState$54,50.0,40.0,10.0
org.jsoup.select.Evaluator$AttributeWithValueStarting,100.0,50.0,50.0
org.jsoup.parser.Tokeniser,89.58333,55.208332,34.374996
org.jsoup.parser.HtmlTreeBuilderState$15,83.33333,62.5,20.833328
org.jsoup.parser.TokeniserState$11,100.0,62.5,37.5
org.jsoup.parser.TokeniserState$9,83.33333,83.33333,0.0
org.jsoup.parser.TokeniserState$8,100.0,16.666668,83.33333
org.jsoup.select.Evaluator$IsOnlyOfType,100.0,50.0,50.0
org.jsoup.select.QueryParser,96.376816,63.76812,32.608696
org.jsoup.parser.Parser,100.0,100.0,0.0
org.jsoup.select.Evaluator$IsEmpty,75.0,37.5,37.5
org.jsoup.select.Selector,92.85714,57.14286,35.71428
org.jsoup.safety.Cleaner,100.0,62.5,37.5
org.jsoup.select.Evaluator$AttributeWithValueEnding,100.0,50.0,50.0
org.jsoup.nodes.Element,91.76471,17.647058,74.11765
org.jsoup.parser.HtmlTreeBuilderState$13,82.608696,39.130436,43.47826
org.jsoup.helper.HttpConnection,37.5,8.333334,29.166666
org.jsoup.parser.HtmlTreeBuilderState$10,83.33333,33.333336,49.999992
org.jsoup.parser.HtmlTreeBuilderState$11,77.27273,59.090908,18.18182
org.jsoup.safety.Whitelist$TypedValue,42.857143,42.857143,0.0
org.jsoup.select.NodeTraversor,90.0,70.0,20.0
org.jsoup.helper.HttpConnection$KeyVal,100.0,100.0,0.0
org.jsoup.parser.TokeniserState$23,50.0,16.666668,33.333332
org.jsoup.parser.TokeniserState$24,57.14286,14.285715,42.857147
org.jsoup.parser.TokeniserState$25,100.0,75.0,25.0
org.jsoup.parser.TokeniserState$26,50.0,50.0,0.0
org.jsoup.select.StructuralEvaluator$Has,100.0,50.0,50.0
org.jsoup.parser.TokeniserState$20,100.0,50.0,50.0
org.jsoup.parser.TokeniserState$21,50.0,50.0,0.0
org.jsoup.parser.TokenQueue,74.57627,55.084747,19.491524
org.jsoup.parser.Token,92.85714,85.71429,7.142853
org.jsoup.safety.Cleaner$CleaningVisitor,100.0,43.75,56.25
org.jsoup.parser.TokeniserState$22,66.66667,16.666668,50.000004
org.jsoup.parser.ParseSettings,100.0,75.0,25.0
org.jsoup.select.CombiningEvaluator$And,100.0,75.0,25.0
org.jsoup.parser.Tag,52.857143,11.428572,41.428574
org.jsoup.nodes.Node,84.88372,53.488373,31.395348
org.jsoup.helper.W3CDom$W3CBuilder,96.15385,61.538464,34.615383
org.jsoup.parser.HtmlTreeBuilderState,100.0,100.0,0.0
org.jsoup.nodes.Document,42.0,34.0,8.0
org.jsoup.select.Evaluator$AttributeStarting,100.0,50.0,50.0
org.jsoup.nodes.Entities,87.30159,14.285715,73.01588
org.jsoup.select.Elements,96.25,45.0,51.25
org.jsoup.select.Evaluator$AttributeWithValueContaining,100.0,50.0,50.0
org.jsoup.parser.TokeniserState,92.30769,26.923079,65.38461
org.jsoup.parser.HtmlTreeBuilder,77.94118,31.372551,46.568626
org.jsoup.nodes.FormElement,82.14286,60.714287,21.428574
org.jsoup.nodes.Attributes,86.36364,45.454548,40.909092
org.jsoup.nodes.TextNode,78.94737,10.526316,68.42106
org.jsoup.parser.TokeniserState$32,50.0,50.0,0.0
org.jsoup.select.Evaluator$AttributeWithValue,100.0,75.0,25.0
org.jsoup.nodes.Entities$EscapeMode,100.0,75.0,25.0
org.jsoup.parser.ParseErrorList,100.0,50.0,50.0
org.jsoup.parser.XmlTreeBuilder,82.75862,27.586206,55.172417
org.jsoup.select.CombiningEvaluator$Or,83.33333,66.66667,16.666656
org.jsoup.select.Evaluator$IsRoot,100.0,75.0,25.0
org.jsoup.helper.StringUtil,96.666664,65.0,31.666664
org.jsoup.parser.TokeniserState$38,77.77778,22.222223,55.555557
org.jsoup.parser.TokeniserState$39,66.66667,11.111112,55.55556
org.jsoup.safety.Whitelist,74.44444,14.444445,60.0
org.jsoup.helper.Validate,75.0,8.333334,66.666664
org.jsoup.select.Collector$Accumulator,100.0,50.0,50.0
org.jsoup.nodes.Attributes$Dataset$DatasetIterator,100.0,50.0,50.0
org.jsoup.parser.TokeniserState$44,83.33333,33.333336,49.999992
org.jsoup.parser.Token$Tag,92.30769,53.846157,38.461536
org.jsoup.select.StructuralEvaluator$Not,100.0,50.0,50.0
org.jsoup.parser.TokeniserState$40,45.454548,9.090909,36.36364
org.jsoup.parser.HtmlTreeBuilderState$2,62.5,56.25,6.25
org.jsoup.parser.HtmlTreeBuilderState$1,100.0,62.5,37.5
org.jsoup.parser.HtmlTreeBuilderState$4,87.09677,58.064514,29.032257
org.jsoup.nodes.Attribute,61.11111,5.555556,55.555553
org.jsoup.parser.HtmlTreeBuilderState$3,65.0,60.000004,4.999996
org.jsoup.parser.CharacterReader,90.625,83.85417,6.7708282
org.jsoup.parser.HtmlTreeBuilderState$9,80.434784,56.521736,23.913048
org.jsoup.parser.HtmlTreeBuilderState$21,83.33333,66.66667,16.666656
org.jsoup.parser.HtmlTreeBuilderState$6,72.72727,59.090908,13.636364
org.jsoup.parser.HtmlTreeBuilderState$8,83.33333,83.33333,0.0
org.jsoup.helper.HttpConnection$Response,11.643836,4.109589,7.534247
org.jsoup.parser.HtmlTreeBuilderState$7,68.79195,38.926174,29.865772
