method,obc(%),omc_obc(%),cov_gap(%)
org.jsoup.parser.ParseErrorList.canAddError,100.0,50.0,50.0
org.jsoup.parser.Token.isEndTag,100.0,100.0,0.0
org.jsoup.parser.TokenQueue.matchesWord,75.0,75.0,0.0
org.jsoup.parser.TokenQueue.consumeWhitespace,100.0,100.0,0.0
org.jsoup.select.Evaluator$AttributeStarting.matches,100.0,50.0,50.0
org.jsoup.nodes.Element.toggleClass,100.0,100.0,0.0
org.jsoup.select.Elements.forms,100.0,50.0,50.0
org.jsoup.select.Collector$Accumulator.head,100.0,50.0,50.0
org.jsoup.helper.HttpConnection$Response.processResponseHeaders,85.0,30.000002,55.0
org.jsoup.parser.HtmlTreeBuilder.insertInFosterParent,50.0,50.0,0.0
org.jsoup.nodes.Element.hasClass,100.0,18.181818,81.818184
org.jsoup.parser.TokeniserState$12.read,100.0,50.0,50.0
org.jsoup.nodes.Document.ensureMetaCharsetElement,68.75,62.5,6.25
org.jsoup.parser.HtmlTreeBuilder.popStackToClose,62.5,37.5,25.0
org.jsoup.parser.HtmlTreeBuilder.removeFromStack,75.0,50.0,25.0
org.jsoup.parser.TokeniserState$26.read,50.0,50.0,0.0
org.jsoup.nodes.Attributes.get,100.0,75.0,25.0
org.jsoup.safety.Cleaner.isValid,100.0,100.0,0.0
org.jsoup.parser.HtmlTreeBuilderState$14.handleMissingTr,50.0,50.0,0.0
org.jsoup.select.NodeTraversor.traverse,90.0,70.0,20.0
org.jsoup.parser.HtmlTreeBuilder.generateImpliedEndTags,100.0,50.0,50.0
org.jsoup.select.Elements.remove,100.0,50.0,50.0
org.jsoup.nodes.Node.nextSibling,100.0,100.0,0.0
org.jsoup.parser.HtmlTreeBuilder.maybeSetBaseUri,75.0,50.0,25.0
org.jsoup.select.QueryParser.findElements,98.14815,50.0,48.148148
org.jsoup.nodes.Node.reindexChildren,100.0,50.0,50.0
org.jsoup.parser.CharacterReader.nextIndexOf,100.0,100.0,0.0
org.jsoup.parser.Tokeniser.emit,100.0,50.0,50.0
org.jsoup.parser.CharacterReader.consumeToAnySorted,100.0,83.33333,16.666672
org.jsoup.helper.StringUtil.isNumeric,87.5,87.5,0.0
org.jsoup.parser.HtmlTreeBuilderState$8.process,83.33333,83.33333,0.0
org.jsoup.select.Evaluator$IsEmpty.matches,75.0,37.5,37.5
org.jsoup.nodes.Element.textNodes,100.0,50.0,50.0
org.jsoup.nodes.TextNode.splitText,50.0,16.666668,33.333332
org.jsoup.parser.CharacterReader.cacheString,100.0,100.0,0.0
org.jsoup.nodes.Entities.isNamedEntity,100.0,100.0,0.0
org.jsoup.nodes.Attribute.isDataAttribute,100.0,50.0,50.0
org.jsoup.parser.HtmlTreeBuilderState$14.process,60.000004,55.0,5.000004
org.jsoup.parser.Token.isStartTag,100.0,100.0,0.0
org.jsoup.parser.HtmlTreeBuilderState$7.anyOtherEndTag,62.5,25.0,37.5
org.jsoup.parser.Token$Tag.finaliseTag,100.0,50.0,50.0
org.jsoup.parser.TokeniserState$38.read,77.77778,22.222223,55.555557
org.jsoup.select.CombiningEvaluator$And.matches,100.0,75.0,25.0
org.jsoup.nodes.Element.indexInList,75.0,50.0,25.0
org.jsoup.nodes.Element.siblingElements,100.0,16.666668,83.33333
org.jsoup.nodes.Attributes.size,100.0,100.0,0.0
org.jsoup.select.Elements.val,75.0,50.0,25.0
org.jsoup.parser.TokenQueue.chompBalanced,93.333336,70.0,23.333336
org.jsoup.select.Evaluator$IsOnlyOfType.matches,100.0,50.0,50.0
