method,missed_stmt,covered_stmt,total_stmts
org.jsoup.nodes.Document.text,0,2,2
org.jsoup.helper.HttpConnection.inputStream,1,3,4
org.jsoup.parser.Token.isEndTag,0,1,1
org.jsoup.parser.HtmlTreeBuilder.clearStackToTableContext,0,1,1
org.jsoup.parser.TokenQueue.consumeWhitespace,0,5,5
org.jsoup.nodes.Comment.outerHtmlTail,0,0,0
org.jsoup.parser.HtmlTreeBuilder.getDocument,0,1,1
org.jsoup.select.Elements.forms,0,5,5
org.jsoup.parser.Token.asEndTag,0,1,1
org.jsoup.helper.HttpConnection.needsMultipart,6,0,6
org.jsoup.parser.TokenQueue.remainingLength,0,1,1
org.jsoup.select.Evaluator.Class,0,1,1
org.jsoup.parser.HtmlTreeBuilder.insertInFosterParent,3,10,13
org.jsoup.helper.StringUtil.resolve,0,13,13
org.jsoup.safety.Whitelist.simpleText,0,1,1
org.jsoup.select.CombiningEvaluator.<init>,0,5,5
org.jsoup.parser.HtmlTreeBuilder.inScope,0,3,3
org.jsoup.select.QueryParser.indexGreaterThan,0,1,1
org.jsoup.nodes.Document.ensureMetaCharsetElement,4,23,27
org.jsoup.parser.HtmlTreeBuilder.removeFromStack,1,5,6
org.jsoup.select.Evaluator.IsNthLastChild,0,1,1
org.jsoup.helper.Validate.<init>,0,0,0
org.jsoup.safety.Whitelist.basicWithImages,0,1,1
org.jsoup.parser.TokenQueue.<init>,0,2,2
org.jsoup.nodes.Attribute.hashCode,3,0,3
org.jsoup.parser.HtmlTreeBuilderState.handleRawtext,0,4,4
org.jsoup.nodes.Node.html,2,0,2
org.jsoup.parser.Tokeniser.emit,1,19,20
org.jsoup.helper.DescendableLinkedList.remove,1,0,1
org.jsoup.helper.StringUtil.isNumeric,0,7,7
org.jsoup.nodes.Element.parents,0,3,3
org.jsoup.nodes.Node.parent,0,1,1
org.jsoup.select.CombiningEvaluator.And,0,2,2
org.jsoup.parser.Token.isStartTag,0,1,1
org.jsoup.parser.TokenQueue.matches,0,1,1
org.jsoup.parser.TokenQueue.consumeWord,0,4,4
org.jsoup.helper.HttpConnection.timeout,0,6,6
org.jsoup.nodes.Node.baseUri,0,1,1
org.jsoup.select.Evaluator.AttributeWithValueEnding,0,1,1
org.jsoup.nodes.Element.removeClass,0,5,5
org.jsoup.parser.Tag.equals,9,13,22
org.jsoup.parser.HtmlTreeBuilder.isSpecial,0,2,2
org.jsoup.select.Selector.<init>,0,10,10
org.jsoup.parser.HtmlTreeBuilder.getActiveFormattingElement,0,7,7
org.jsoup.parser.Parser.parseBodyFragment,0,9,9
org.jsoup.HttpStatusException.getUrl,1,0,1
org.jsoup.parser.HtmlTreeBuilderState.anyOtherEndTag,1,13,14
org.jsoup.parser.Parser.parse,0,2,2
org.jsoup.parser.HtmlTreeBuilder.inSelectScope,3,6,9
org.jsoup.select.Elements.html,0,9,9
org.jsoup.parser.HtmlTreeBuilder.insertForm,0,7,7
org.jsoup.nodes.Attributes.equals,2,4,6
org.jsoup.nodes.Element.appendWhitespaceIfBr,0,2,2
org.jsoup.nodes.Attributes.dataKey,0,1,1
org.jsoup.select.QueryParser.indexEquals,0,1,1
org.jsoup.helper.StringUtil.appendNormalisedWhitespace,0,14,14
org.jsoup.safety.Cleaner.ElementMeta,0,2,2
org.jsoup.nodes.Node.doClone,1,11,12
org.jsoup.helper.HttpConnection.hasInputStream,0,1,1
org.jsoup.parser.HtmlTreeBuilder.reconstructFormattingElements,0,24,24
org.jsoup.parser.Token.toString,2,4,6
org.jsoup.helper.HttpConnection.initUnSecureTSL,2,0,2
org.jsoup.nodes.Node.removeChild,0,5,5
org.jsoup.nodes.Entities.codepointForName,0,2,2
org.jsoup.nodes.Node.childNodesAsArray,0,1,1
org.jsoup.nodes.Entities.canEncode,0,7,7
org.jsoup.nodes.TextNode.isBlank,0,1,1
org.jsoup.parser.TreeBuilder.parse,0,3,3
org.jsoup.nodes.Element.accumulateParents,0,4,4
org.jsoup.parser.HtmlTreeBuilder.originalState,0,1,1
org.jsoup.nodes.Element.getElementsByIndexGreaterThan,1,0,1
org.jsoup.nodes.Element.ownText,0,9,9
org.jsoup.parser.Tokeniser.advanceTransition,0,2,2
org.jsoup.select.Elements.<init>,0,4,4
org.jsoup.parser.HtmlTreeBuilder.getFromStack,0,5,5
org.jsoup.examples.HtmlToPlainText.toString,1,0,1
org.jsoup.nodes.Attributes.next,0,1,1
org.jsoup.parser.HtmlTreeBuilder.replaceOnStack,1,0,1
org.jsoup.select.Evaluator.Tag,0,1,1
org.jsoup.parser.TokenQueue.addFirst,1,2,3
org.jsoup.parser.Token.EndTag,0,2,2
org.jsoup.parser.Parser.unescapeEntities,0,2,2
org.jsoup.parser.HtmlTreeBuilder.pop,0,2,2
org.jsoup.parser.XmlTreeBuilder.parse,0,1,1
org.jsoup.nodes.Node.siblingIndex,0,1,1
org.jsoup.helper.DescendableLinkedList.DescendingIterator,1,0,1
org.jsoup.safety.Whitelist.getEnforcedAttributes,0,7,7
org.jsoup.nodes.TextNode.outerHtmlHead,0,4,4
org.jsoup.parser.Token.<init>,0,0,0
org.jsoup.nodes.Node.absUrl,0,4,4
org.jsoup.nodes.TextNode.createFromEncoded,2,0,2
org.jsoup.parser.Tag.hashCode,11,0,11
org.jsoup.select.CombiningEvaluator.updateNumEvaluators,0,1,1
org.jsoup.safety.Whitelist.removeAttributes,5,15,20
org.jsoup.UnsupportedMimeTypeException.toString,1,0,1
org.jsoup.parser.HtmlTreeBuilder.markInsertionMode,0,1,1
org.jsoup.parser.Token.getSystemIdentifier,0,1,1
org.jsoup.select.Elements.traverse,0,5,5
org.jsoup.select.Elements.prepend,0,3,3
org.jsoup.safety.Whitelist.basic,0,1,1
org.jsoup.nodes.Attributes.iterator,0,4,4
org.jsoup.parser.Tag.valueOf,0,12,12
org.jsoup.parser.HtmlTreeBuilder.clearFormattingElementsToLastMarker,0,4,4
org.jsoup.parser.HtmlTreeBuilder.insertStartTag,0,3,3
org.jsoup.nodes.Node.replaceChild,0,9,9
org.jsoup.select.Elements.addClass,0,3,3
org.jsoup.examples.HtmlToPlainText.append,18,0,18
org.jsoup.parser.TokenQueue.isEmpty,0,1,1
org.jsoup.nodes.TextNode.attr,2,2,4
org.jsoup.helper.StringUtil.in,0,4,4
org.jsoup.nodes.Node.childNodes,0,1,1
org.jsoup.parser.CharacterReader.consumeToAny,0,9,9
org.jsoup.nodes.Node.childNode,0,1,1
org.jsoup.nodes.Node.after,0,6,6
org.jsoup.select.Elements.eq,0,1,1
