class,sc,omc_sc,cov_gap
org.jsoup.nodes.Attributes,92.45283,49.056606,43.39622
org.jsoup.parser.ParseError,71.42857,14.285715,57.14286
org.jsoup.select.StructuralEvaluator,86.36364,9.090909,77.27273
org.jsoup.helper.DataUtil,89.898994,53.535355,36.36364
org.jsoup.nodes.TextNode,66.66667,42.22222,24.44445
org.jsoup.parser.TreeBuilder,96.77419,61.290325,35.483868
org.jsoup.parser.Tokeniser,89.68254,62.69841,26.98413
org.jsoup.helper.W3CDom,96.875,62.5,34.375
org.jsoup.nodes.DocumentType,100.0,6.25,93.75
org.jsoup.nodes.Comment,87.5,50.0,37.5
org.jsoup.parser.ParseErrorList,83.33333,83.33333,0.0
org.jsoup.nodes.BooleanAttribute,100.0,50.0,50.0
org.jsoup.parser.XmlTreeBuilder,97.01493,58.208954,38.805977
org.jsoup.parser.Parser,85.29411,79.411766,5.882347
org.jsoup.select.QueryParser,98.019806,63.86139,34.158417
org.jsoup.select.Selector,97.22222,72.22222,25.0
org.jsoup.select.CombiningEvaluator,93.548386,54.83871,38.709675
org.jsoup.safety.Cleaner,100.0,50.0,50.0
org.jsoup.nodes.Element,88.99371,33.962265,55.03145
org.jsoup.select.Evaluator,73.722626,20.437956,53.284668
org.jsoup.helper.HttpConnection,34.444447,10.222222,24.222225
org.jsoup.helper.StringUtil,98.55073,57.971012,40.579716
org.jsoup.select.NodeTraversor,100.0,87.5,12.5
org.jsoup.safety.Whitelist,90.71038,26.775955,63.934425
org.jsoup.helper.Validate,76.190475,9.523809,66.666664
org.jsoup.select.Collector,100.0,70.0,30.0
org.jsoup.parser.Token,96.42857,45.535713,50.89286
org.jsoup.parser.TokenQueue,85.826775,69.29134,16.53543
org.jsoup.parser.ParseSettings,100.0,87.5,12.5
org.jsoup.nodes.XmlDeclaration,90.909096,45.454548,45.454548
org.jsoup.parser.Tag,74.46808,22.340425,52.127655
org.jsoup.nodes.Node,93.65854,51.219513,42.439026
org.jsoup.nodes.Attribute,76.190475,21.428572,54.7619
org.jsoup.parser.CharacterReader,97.82609,92.391304,5.434784
org.jsoup.parser.HtmlTreeBuilderState,75.32957,38.04143,37.288136
org.jsoup.nodes.Document,69.28571,47.85714,21.428574
org.jsoup.nodes.Entities,93.84615,16.153847,77.69231
org.jsoup.Jsoup,88.46153,73.07692,15.384613
org.jsoup.select.Elements,98.290596,50.427353,47.863243
org.jsoup.nodes.DataNode,50.0,10.0,40.0
org.jsoup.parser.TokeniserState,47.626583,15.822784,31.803799
org.jsoup.parser.HtmlTreeBuilder,86.60436,45.79439,40.80997
org.jsoup.nodes.FormElement,84.84849,69.69697,15.15152
