method,sc,omc_sc,cov_gap
org.jsoup.helper.HttpConnection.inputStream,75.0,50.0,25.0
org.jsoup.parser.Token.isEndTag,100.0,100.0,0.0
org.jsoup.parser.TokenQueue.consumeWhitespace,100.0,100.0,0.0
org.jsoup.Jsoup.connect,100.0,100.0,0.0
org.jsoup.parser.HtmlTreeBuilder.getDocument,100.0,100.0,0.0
org.jsoup.nodes.Element.toggleClass,100.0,71.42857,28.571426
org.jsoup.select.Elements.forms,100.0,100.0,0.0
org.jsoup.parser.Token.asEndTag,100.0,100.0,0.0
org.jsoup.parser.TokenQueue.remainingLength,100.0,100.0,0.0
org.jsoup.parser.HtmlTreeBuilder.insertInFosterParent,76.92308,46.153847,30.769234
org.jsoup.helper.StringUtil.resolve,100.0,38.46154,61.53846
org.jsoup.parser.Token.name,100.0,80.0,20.0
org.jsoup.select.CombiningEvaluator.<init>,100.0,80.0,20.0
org.jsoup.parser.HtmlTreeBuilder.inScope,100.0,100.0,0.0
org.jsoup.nodes.Document.ensureMetaCharsetElement,85.18519,77.77778,7.4074097
org.jsoup.parser.HtmlTreeBuilder.removeFromStack,83.33333,66.66667,16.666656
org.jsoup.parser.TokenQueue.<init>,100.0,50.0,50.0
org.jsoup.select.QueryParser.findElements,98.11321,49.056606,49.056606
org.jsoup.parser.CharacterReader.nextIndexOf,100.0,100.0,0.0
org.jsoup.parser.HtmlTreeBuilderState.handleRawtext,100.0,25.0,75.0
org.jsoup.parser.Tokeniser.emit,95.0,70.0,25.0
org.jsoup.helper.StringUtil.isNumeric,100.0,100.0,0.0
org.jsoup.nodes.Element.parents,100.0,100.0,0.0
org.jsoup.parser.HtmlTreeBuilder.parse,100.0,66.66667,33.33333
org.jsoup.nodes.Node.parent,100.0,100.0,0.0
org.jsoup.nodes.Entities.isNamedEntity,100.0,100.0,0.0
org.jsoup.nodes.Attribute.isDataAttribute,100.0,100.0,0.0
org.jsoup.parser.Token.newAttribute,100.0,80.0,20.0
org.jsoup.parser.Token.isStartTag,100.0,100.0,0.0
org.jsoup.parser.TokenQueue.matches,100.0,100.0,0.0
org.jsoup.nodes.Document.escapeMode,100.0,66.66667,33.33333
org.jsoup.helper.HttpConnection.timeout,100.0,50.0,50.0
org.jsoup.nodes.Node.baseUri,100.0,100.0,0.0
org.jsoup.nodes.Element.removeClass,100.0,60.000004,39.999996
org.jsoup.nodes.XmlDeclaration.name,100.0,100.0,0.0
org.jsoup.parser.Tag.equals,59.090908,18.181818,40.90909
org.jsoup.parser.HtmlTreeBuilder.isSpecial,100.0,100.0,0.0
org.jsoup.parser.HtmlTreeBuilder.error,100.0,100.0,0.0
org.jsoup.select.Selector.<init>,100.0,50.0,50.0
org.jsoup.parser.HtmlTreeBuilder.getActiveFormattingElement,100.0,71.42857,28.571426
org.jsoup.parser.Parser.parseBodyFragment,100.0,88.88889,11.111107
org.jsoup.parser.HtmlTreeBuilderState.anyOtherEndTag,92.85714,42.857143,49.999996
org.jsoup.parser.Parser.parse,100.0,100.0,0.0
org.jsoup.nodes.Node.traverse,100.0,50.0,50.0
org.jsoup.parser.HtmlTreeBuilder.inSelectScope,66.66667,66.66667,0.0
org.jsoup.select.Elements.html,100.0,33.333336,66.666664
org.jsoup.parser.HtmlTreeBuilder.insertForm,100.0,85.71429,14.285713
org.jsoup.nodes.Element.text,100.0,57.14286,42.85714
org.jsoup.select.CombiningEvaluator.replaceRightMostEvaluator,100.0,100.0,0.0
org.jsoup.parser.TokenQueue.consume,71.42857,42.857143,28.57143
org.jsoup.parser.CharacterReader.matchesIgnoreCase,100.0,100.0,0.0
