class,missed_branch, covered_branch, total_branch  
org.codehaus.plexus.util.cli.DefaultConsumer,1,1,2
org.codehaus.plexus.util.InterpolationFilterReader,15,41,56
org.codehaus.plexus.util.cli.shell.Shell,7,29,36
org.codehaus.plexus.util.cli.AbstractStreamHandler,0,2,2
org.codehaus.plexus.util.CachedMap,32,0,32
org.codehaus.plexus.util.Os,35,47,82
org.codehaus.plexus.util.FastMap$EntryImpl,12,0,12
org.codehaus.plexus.util.cli.CommandLineUtils,24,43,67
org.codehaus.plexus.util.FastMap$KeySet$1,2,0,2
org.codehaus.plexus.util.cli.Commandline$Argument,1,3,4
org.codehaus.plexus.util.cli.EnhancedStringTokenizer,0,22,22
org.codehaus.plexus.util.cli.Commandline,24,32,56
org.codehaus.plexus.util.xml.XmlStreamWriter,12,10,22
org.codehaus.plexus.util.StringUtils,331,97,428
org.codehaus.plexus.util.introspection.ReflectionValueExtractor$Tokenizer,4,20,24
org.codehaus.plexus.util.PropertyUtils,6,0,6
org.codehaus.plexus.util.xml.pull.XmlPullParserException,10,0,10
org.codehaus.plexus.util.reflection.Reflector,62,26,88
org.codehaus.plexus.util.dag.Vertex,7,5,12
org.codehaus.plexus.util.introspection.MethodMap,154,19,173
org.codehaus.plexus.util.SweeperPool,9,25,34
org.codehaus.plexus.util.xml.XmlUtil,12,36,48
org.codehaus.plexus.util.xml.SerializerXMLWriter,4,0,4
org.codehaus.plexus.util.cli.StreamFeeder,18,0,18
org.codehaus.plexus.util.xml.PrettyPrintXMLWriter,4,30,34
org.codehaus.plexus.util.CollectionUtils,8,26,34
org.codehaus.plexus.util.xml.pull.MXSerializer,497,0,497
org.codehaus.plexus.util.FastMap$KeySet,2,0,2
org.codehaus.plexus.util.PathTool,45,75,120
org.codehaus.plexus.util.xml.pull.MXParser,880,586,1466
org.codehaus.plexus.util.dag.TopologicalSorter,1,11,12
org.codehaus.plexus.util.Base64,82,0,82
org.codehaus.plexus.util.ReflectionUtils,21,5,26
org.codehaus.plexus.util.IOUtil,3,17,20
org.codehaus.plexus.util.SweeperPool$Sweeper,4,6,10
org.codehaus.plexus.util.xml.Xpp3Dom,32,80,112
org.codehaus.plexus.util.xml.Xpp3DomBuilder,3,27,30
org.codehaus.plexus.util.xml.XmlReader,171,13,184
org.codehaus.plexus.util.cli.CommandLineUtils$2,15,17,32
org.codehaus.plexus.util.xml.Xpp3DomWriter,0,8,8
org.codehaus.plexus.util.FastMap$EntrySet,8,0,8
org.codehaus.plexus.util.Expand,14,0,14
org.codehaus.plexus.util.FastMap,92,0,92
org.codehaus.plexus.util.dag.CycleDetectedException,0,4,4
org.codehaus.plexus.util.dag.DAG,1,5,6
org.codehaus.plexus.util.cli.StreamPumper,11,19,30
org.codehaus.plexus.util.xml.XmlWriterUtil,11,29,40
org.codehaus.plexus.util.xml.pull.EntityReplacementMap,6,14,20
org.codehaus.plexus.util.MatchPattern,2,16,18
org.codehaus.plexus.util.cli.shell.BourneShell,10,8,18
org.codehaus.plexus.util.AbstractScanner,6,24,30
org.codehaus.plexus.util.SelectorUtils,92,156,248
org.codehaus.plexus.util.TypeFormat,240,0,240
org.codehaus.plexus.util.MatchPatterns,4,10,14
org.codehaus.plexus.util.FastMap$EntrySet$1,2,0,2
org.codehaus.plexus.util.NioFiles,22,0,22
org.codehaus.plexus.util.FileUtils,159,171,330
org.codehaus.plexus.util.FastMap$Values$1,2,0,2
org.codehaus.plexus.util.ExceptionUtils,84,0,84
org.codehaus.plexus.util.introspection.ReflectionValueExtractor,8,36,44
org.codehaus.plexus.util.xml.Xpp3DomUtils,19,27,46
org.codehaus.plexus.util.cli.Commandline$Marker,6,0,6
org.codehaus.plexus.util.DirectoryWalker,24,28,52
org.codehaus.plexus.util.DirectoryScanner,35,39,74
org.codehaus.plexus.util.LineOrientedInterpolatingReader,19,59,78
org.codehaus.plexus.util.introspection.ClassMap,48,26,74
org.codehaus.plexus.util.dag.CycleDetector,8,12,20
