method,missed_branch,covered_branch,total_branch
org.codehaus.plexus.util.cli.Commandline.getExecutable,2,0,2
org.codehaus.plexus.util.xml.pull.MXParser.getLineNumber,0,0,0
org.codehaus.plexus.util.dag.TopologicalSorter.<init>,0,0,0
org.codehaus.plexus.util.cli.Commandline.getSystemEnvVars,0,0,0
org.codehaus.plexus.util.xml.Xpp3Dom.mergeIntoXpp3Dom,2,32,34
org.codehaus.plexus.util.MatchPattern.matchPatternStart,1,5,6
org.codehaus.plexus.util.dag.Vertex.addEdgeTo,0,0,0
org.codehaus.plexus.util.DirectoryWalker.getExcludes,0,0,0
org.codehaus.plexus.util.reflection.Reflector._getMethod,6,8,14
org.codehaus.plexus.util.cli.Commandline.setExecutable,0,0,0
org.codehaus.plexus.util.xml.PrettyPrintXMLWriter.setDepth,0,0,0
org.codehaus.plexus.util.FileUtils.<clinit>,0,0,0
org.codehaus.plexus.util.CachedMap.getCacheMissed,6,0,6
org.codehaus.plexus.util.xml.XmlStreamWriter.<init>,0,0,0
org.codehaus.plexus.util.xml.pull.MXParser.setFeature,16,0,16
org.codehaus.plexus.util.FastMap$EntrySet$1.remove,0,0,0
org.codehaus.plexus.util.FastMap.toString,0,0,0
org.codehaus.plexus.util.DirectoryWalker.addDirectoryWalkListener,0,0,0
org.codehaus.plexus.util.FileUtils.extension,1,7,8
org.codehaus.plexus.util.xml.PrettyPrintXMLWriter.getWriter,0,0,0
org.codehaus.plexus.util.xml.XmlStreamWriter.write,0,2,2
org.codehaus.plexus.util.StringUtils.isAlphanumeric,6,0,6
org.codehaus.plexus.util.xml.Xpp3DomWriter.write,0,8,8
org.codehaus.plexus.util.StringUtils.chop,5,3,8
org.codehaus.plexus.util.DirectoryScanner.isParentSymbolicLink,3,1,4
org.codehaus.plexus.util.xml.pull.MXSerializer.attribute,16,0,16
org.codehaus.plexus.util.Base64.<init>,0,0,0
org.codehaus.plexus.util.xml.SerializerXMLWriter.endElement,0,0,0
org.codehaus.plexus.util.ExceptionUtils.isNestedThrowable,12,0,12
org.codehaus.plexus.util.xml.Xpp3DomBuilder.build,3,27,30
org.codehaus.plexus.util.xml.XmlUtil.<init>,0,0,0
org.codehaus.plexus.util.SweeperPool$Sweeper.stop,0,0,0
org.codehaus.plexus.util.introspection.ReflectionValueExtractor$Tokenizer.nextToken,0,8,8
org.codehaus.plexus.util.xml.pull.MXSerializer.closeStartTag,12,0,12
org.codehaus.plexus.util.StringUtils.getNestedString,6,0,6
org.codehaus.plexus.util.Os.setName,0,0,0
org.codehaus.plexus.util.FileUtils.mkDirs,6,0,6
org.codehaus.plexus.util.cli.Commandline.execute,2,4,6
org.codehaus.plexus.util.xml.XmlReader.<clinit>,0,0,0
org.codehaus.plexus.util.StringUtils.capitalizeFirstLetter,0,0,0
org.codehaus.plexus.util.xml.PrettyPrintXMLWriter.writeDocumentHeaders,2,2,4
org.codehaus.plexus.util.cli.StreamPumper.getException,0,0,0
org.codehaus.plexus.util.cli.Commandline$Argument.getParts,0,0,0
org.codehaus.plexus.util.CachedMap.<init>,6,0,6
org.codehaus.plexus.util.cli.Commandline.addArg,2,0,2
org.codehaus.plexus.util.Base64.discardNonBase64,4,0,4
org.codehaus.plexus.util.xml.pull.MXSerializer.endTag,34,0,34
org.codehaus.plexus.util.InterpolationFilterReader.<init>,0,0,0
org.codehaus.plexus.util.NioFiles.isSymbolicLink,0,0,0
org.codehaus.plexus.util.FastMap$EntryImpl.setValue,0,0,0
org.codehaus.plexus.util.StringUtils.contains,8,0,8
org.codehaus.plexus.util.SelectorUtils.matchAntPathPattern,27,81,108
org.codehaus.plexus.util.cli.DefaultConsumer.consumeLine,1,1,2
org.codehaus.plexus.util.xml.Xpp3Dom.setValue,0,0,0
org.codehaus.plexus.util.xml.Xpp3Dom.writeToSerializer,2,0,2
org.codehaus.plexus.util.xml.XmlReader.setDefaultEncoding,0,0,0
org.codehaus.plexus.util.StringUtils.reverse,2,0,2
org.codehaus.plexus.util.xml.Xpp3DomWriter.<init>,0,0,0
org.codehaus.plexus.util.ReaderFactory.newXmlReader,0,0,0
org.codehaus.plexus.util.xml.pull.MXParser.isEmptyElementTag,1,1,2
org.codehaus.plexus.util.cli.shell.Shell.setSingleQuotedExecutableEscaped,0,0,0
org.codehaus.plexus.util.LineOrientedInterpolatingReader.replaceWithInterpolatedValues,0,2,2
org.codehaus.plexus.util.xml.pull.MXParser.reset,0,0,0
org.codehaus.plexus.util.DirectoryWalker.fireDebugMessage,2,0,2
org.codehaus.plexus.util.cli.shell.Shell.setShellArgs,0,0,0
org.codehaus.plexus.util.FileUtils.copyDirectoryStructure,6,16,22
org.codehaus.plexus.util.cli.shell.Shell.isQuotedArgumentsEnabled,0,0,0
org.codehaus.plexus.util.cli.shell.Shell.setExecutableQuoteDelimiter,0,0,0
org.codehaus.plexus.util.xml.pull.MXParser.getName,2,6,8
org.codehaus.plexus.util.xml.pull.MXParser.parseCDSect,37,25,62
org.codehaus.plexus.util.dag.TopologicalSorter.dfsVisit,0,4,4
org.codehaus.plexus.util.cli.shell.Shell.clone,0,0,0
org.codehaus.plexus.util.SweeperPool$Sweeper.start,1,1,2
org.codehaus.plexus.util.dag.Vertex.getParentLabels,0,2,2
org.codehaus.plexus.util.FileUtils.normalize,0,8,8
org.codehaus.plexus.util.MatchPatterns.<init>,0,0,0
org.codehaus.plexus.util.reflection.Reflector.getStaticField,0,0,0
org.codehaus.plexus.util.xml.XmlUtil.prettyFormat,6,6,12
org.codehaus.plexus.util.xml.XmlStreamWriter.close,0,2,2
org.codehaus.plexus.util.FileUtils.getDefaultExcludes,0,0,0
org.codehaus.plexus.util.ExceptionUtils.getRootCause,4,0,4
org.codehaus.plexus.util.StringUtils.interpolate,6,0,6
org.codehaus.plexus.util.introspection.ReflectionValueExtractor$Tokenizer.peekChar,0,2,2
org.codehaus.plexus.util.xml.pull.MXParser.isAttributeDefault,6,0,6
org.codehaus.plexus.util.xml.XmlStreamReaderException.<init>,0,0,0
org.codehaus.plexus.util.introspection.ClassMap.getAccessibleMethods,27,1,28
org.codehaus.plexus.util.xml.pull.MXParser.requireInput,1,3,4
org.codehaus.plexus.util.FileUtils.waitFor,1,5,6
org.codehaus.plexus.util.cli.StreamFeeder.getException,0,0,0
org.codehaus.plexus.util.xml.XmlReader.getEncoding,0,0,0
org.codehaus.plexus.util.reflection.Reflector.getField,6,4,10
org.codehaus.plexus.util.xml.XmlStreamWriter.<clinit>,0,0,0
org.codehaus.plexus.util.Base64.encodeBase64Chunked,0,0,0
org.codehaus.plexus.util.SelectorUtils.isRegexPrefixedPattern,1,5,6
org.codehaus.plexus.util.xml.pull.MXSerializer.entityRef,10,0,10
org.codehaus.plexus.util.DirectoryWalker$DirStackEntry.getNextPercentageSize,0,0,0
org.codehaus.plexus.util.DirectoryWalker.fireStep,0,2,2
org.codehaus.plexus.util.reflection.Reflector.getSingleton,2,0,2
org.codehaus.plexus.util.cli.CommandLineUtils$StringStreamConsumer.consumeLine,0,0,0
org.codehaus.plexus.util.DirectoryWalker.addSCMExcludes,0,2,2
org.codehaus.plexus.util.introspection.ClassMap.getPublicMethod,11,1,12
org.codehaus.plexus.util.cli.shell.Shell.getExecutionPreamble,0,0,0
org.codehaus.plexus.util.AbstractScanner.addDefaultExcludes,0,6,6
org.codehaus.plexus.util.cli.shell.Shell.clearArguments,0,0,0
org.codehaus.plexus.util.xml.PrettyPrintXMLWriter.setWriter,1,1,2
org.codehaus.plexus.util.StringUtils.join,3,11,14
org.codehaus.plexus.util.xml.pull.MXParser.parseEndTag,5,9,14
org.codehaus.plexus.util.xml.XmlReader.getContentTypeEncoding,8,0,8
org.codehaus.plexus.util.StringUtils.replace,7,5,12
org.codehaus.plexus.util.reflection.Reflector.getMethod,2,0,2
org.codehaus.plexus.util.cli.Commandline.<init>,8,4,12
org.codehaus.plexus.util.FileUtils.forceMkdir,4,6,10
org.codehaus.plexus.util.cli.ShutdownHookUtils.removeShutdownHook,0,0,0
org.codehaus.plexus.util.LineOrientedInterpolatingReader.readLine,3,7,10
org.codehaus.plexus.util.StringUtils.isNotEmpty,0,4,4
org.codehaus.plexus.util.reflection.Reflector.<init>,0,0,0
org.codehaus.plexus.util.FastMap.isEmpty,2,0,2
org.codehaus.plexus.util.xml.pull.MXParser.ensureNamespacesCapacity,12,0,12
org.codehaus.plexus.util.NioFiles.createSymbolicLink,2,0,2
org.codehaus.plexus.util.FileUtils.blendFilesToVector,2,0,2
org.codehaus.plexus.util.FileUtils.getDefaultExcludesAsList,0,0,0
org.codehaus.plexus.util.xml.pull.MXParser.parseAttribute,104,38,142
org.codehaus.plexus.util.xml.pull.MXParser.isHighSurrogate,4,0,4
org.codehaus.plexus.util.xml.pull.MXParser.toCodePoint,0,0,0
org.codehaus.plexus.util.xml.XmlWriterUtil.writeCommentLineBreak,1,1,2
org.codehaus.plexus.util.xml.pull.MXParser.<init>,4,4,8
org.codehaus.plexus.util.Base64.encodeBase64,32,0,32
org.codehaus.plexus.util.xml.pull.MXSerializer.comment,10,0,10
org.codehaus.plexus.util.xml.Xpp3DomUtils.<init>,0,0,0
org.codehaus.plexus.util.xml.pull.MXSerializer.getWriter,0,0,0
org.codehaus.plexus.util.MatchPatterns.matches,0,6,6
org.codehaus.plexus.util.xml.XmlReader.isAppXml,12,0,12
org.codehaus.plexus.util.LineOrientedInterpolatingReader.evaluateExpressions,4,6,10
org.codehaus.plexus.util.dag.Vertex.isLeaf,1,1,2
org.codehaus.plexus.util.xml.pull.EntityReplacementMap.<clinit>,0,0,0
org.codehaus.plexus.util.FastMap$KeySet.iterator,0,0,0
org.codehaus.plexus.util.dag.DAG.addEdge,0,2,2
org.codehaus.plexus.util.CachedMap.getCacheSize,0,0,0
org.codehaus.plexus.util.DirectoryWalker.setBaseDir,0,0,0
org.codehaus.plexus.util.xml.pull.MXParser.parseEpilog,61,11,72
org.codehaus.plexus.util.MatchPattern.<init>,0,6,6
org.codehaus.plexus.util.xml.pull.MXParser.getEventType,0,0,0
org.codehaus.plexus.util.xml.PrettyPrintXMLWriter.getElementStack,0,0,0
org.codehaus.plexus.util.CollectionUtils.getFreq,0,2,2
org.codehaus.plexus.util.StringUtils.equalsIgnoreCase,4,0,4
org.codehaus.plexus.util.SweeperPool.<init>,0,2,2
org.codehaus.plexus.util.cli.shell.Shell.getOriginalExecutable,0,0,0
org.codehaus.plexus.util.TypeFormat.parseFloat,4,0,4
org.codehaus.plexus.util.DirectoryScanner.setBasedir,0,0,0
org.codehaus.plexus.util.xml.XmlReader.<init>,10,0,10
org.codehaus.plexus.util.WriterFactory.<init>,0,0,0
org.codehaus.plexus.util.FileUtils.getFileAndDirectoryNames,9,7,16
org.codehaus.plexus.util.FastMap.entrySet,0,0,0
org.codehaus.plexus.util.xml.XmlReader.doRawStream,0,0,0
org.codehaus.plexus.util.dag.Vertex.removeEdgeFrom,0,0,0
org.codehaus.plexus.util.FastMap.hashCode,2,0,2
