class,obc(%),omc_obc(%),cov_gap(%)
org.codehaus.plexus.util.PathTool,62.5,47.5,15.0
org.codehaus.plexus.util.cli.shell.Shell,80.55556,27.777779,52.77778
org.codehaus.plexus.util.xml.pull.MXParser,39.972713,17.12142,22.851294
org.codehaus.plexus.util.dag.TopologicalSorter,91.66667,41.666664,50.000008
org.codehaus.plexus.util.ReflectionUtils,19.23077,11.538462,7.6923084
org.codehaus.plexus.util.IOUtil,85.0,55.0,30.0
org.codehaus.plexus.util.xml.Xpp3Dom,71.42857,41.07143,30.357143
org.codehaus.plexus.util.xml.Xpp3DomBuilder,90.0,50.0,40.0
org.codehaus.plexus.util.SweeperPool$Sweeper,60.000004,30.000002,30.000002
org.codehaus.plexus.util.Os,57.317074,39.024387,18.292686
org.codehaus.plexus.util.cli.CommandLineUtils,64.17911,35.820896,28.358212
org.codehaus.plexus.util.cli.Commandline$Argument,75.0,50.0,25.0
org.codehaus.plexus.util.cli.EnhancedStringTokenizer,100.0,95.454544,4.545456
org.codehaus.plexus.util.cli.Commandline,57.14286,32.142857,25.000004
org.codehaus.plexus.util.dag.DAG,83.33333,66.66667,16.666656
org.codehaus.plexus.util.xml.XmlStreamWriter,45.454548,27.272728,18.18182
org.codehaus.plexus.util.cli.StreamPumper,63.333332,16.666668,46.666664
org.codehaus.plexus.util.StringUtils,22.663551,14.485981,8.17757
org.codehaus.plexus.util.introspection.ReflectionValueExtractor$Tokenizer,83.33333,75.0,8.333328
org.codehaus.plexus.util.xml.XmlWriterUtil,72.5,22.5,50.0
org.codehaus.plexus.util.xml.pull.EntityReplacementMap,70.0,30.000002,40.0
org.codehaus.plexus.util.MatchPattern,88.88889,44.444447,44.444447
org.codehaus.plexus.util.cli.shell.BourneShell,44.444447,5.555556,38.88889
org.codehaus.plexus.util.SelectorUtils,62.903225,50.403225,12.5
org.codehaus.plexus.util.reflection.Reflector,29.545454,21.59091,7.954544
org.codehaus.plexus.util.AbstractScanner,80.0,33.333336,46.666664
org.codehaus.plexus.util.MatchPatterns,71.42857,57.14286,14.285713
org.codehaus.plexus.util.dag.Vertex,41.666664,33.333336,8.333328
org.codehaus.plexus.util.introspection.MethodMap,10.982658,8.67052,2.3121386
org.codehaus.plexus.util.SweeperPool,73.52941,38.235294,35.294117
org.codehaus.plexus.util.FileUtils,51.81818,18.484848,33.333332
org.codehaus.plexus.util.xml.Xpp3DomUtils,58.69565,26.086956,32.608692
org.codehaus.plexus.util.introspection.ReflectionValueExtractor,81.818184,63.636364,18.18182
org.codehaus.plexus.util.DirectoryWalker,53.846157,30.769232,23.076925
org.codehaus.plexus.util.xml.PrettyPrintXMLWriter,88.2353,2.9411764,85.29412
org.codehaus.plexus.util.CollectionUtils,76.47059,58.823532,17.647057
org.codehaus.plexus.util.DirectoryScanner,52.7027,31.081081,21.62162
org.codehaus.plexus.util.LineOrientedInterpolatingReader,75.64102,26.923079,48.71794
org.codehaus.plexus.util.introspection.ClassMap,35.135136,14.864865,20.270271
org.codehaus.plexus.util.dag.CycleDetector,60.000004,35.0,25.000004
