method,obc(%),omc_obc(%),cov_gap(%)
org.codehaus.plexus.util.dag.DAG.getSuccessorLabels,50.0,50.0,0.0
org.codehaus.plexus.util.xml.pull.EntityReplacementMap.defineEntityReplacementText,75.0,33.333336,41.666664
org.codehaus.plexus.util.StringUtils.repeat,100.0,100.0,0.0
org.codehaus.plexus.util.xml.Xpp3Dom.mergeIntoXpp3Dom,94.117645,55.88235,38.235294
org.codehaus.plexus.util.DirectoryWalker.scan,35.714287,14.285715,21.428572
org.codehaus.plexus.util.MatchPattern.matchPatternStart,83.33333,33.333336,49.999992
org.codehaus.plexus.util.FileUtils.deleteDirectory,83.33333,33.333336,49.999992
org.codehaus.plexus.util.ReflectionUtils.getFieldByNameIncludingSuperclasses,50.0,50.0,0.0
org.codehaus.plexus.util.PathTool.buildRelativePath,87.5,54.166668,33.333332
org.codehaus.plexus.util.reflection.Reflector._getMethod,57.14286,50.0,7.1428604
org.codehaus.plexus.util.cli.Commandline$Argument.setValue,50.0,50.0,0.0
org.codehaus.plexus.util.SelectorUtils.separatorPatternStartSlashMismatch,75.0,75.0,0.0
org.codehaus.plexus.util.xml.pull.MXParser.isSupplementaryCodePoint,75.0,25.0,50.0
org.codehaus.plexus.util.PathTool.uppercaseDrive,66.66667,33.333336,33.333336
org.codehaus.plexus.util.DirectoryWalker.fixPattern,50.0,25.0,25.0
org.codehaus.plexus.util.xml.pull.MXParser.parseXmlDecl,42.857143,3.5714288,39.285713
org.codehaus.plexus.util.FileUtils.extension,87.5,75.0,12.5
org.codehaus.plexus.util.xml.pull.MXParser.parseProlog,48.4375,14.0625,34.375
org.codehaus.plexus.util.xml.XmlStreamWriter.write,100.0,100.0,0.0
org.codehaus.plexus.util.FileUtils.toFile,87.5,75.0,12.5
org.codehaus.plexus.util.dag.DAG.addVertex,100.0,100.0,0.0
org.codehaus.plexus.util.FileUtils.forceDelete,50.0,16.666668,33.333332
org.codehaus.plexus.util.introspection.ReflectionValueExtractor.getIndexedValue,83.33333,66.66667,16.666656
org.codehaus.plexus.util.introspection.ReflectionValueExtractor$Tokenizer.nextPropertyName,87.5,75.0,12.5
org.codehaus.plexus.util.DirectoryWalker.fireWalkFinished,100.0,50.0,50.0
org.codehaus.plexus.util.StringUtils.chop,37.5,37.5,0.0
org.codehaus.plexus.util.PathTool.calculateLink,50.0,40.909092,9.090908
org.codehaus.plexus.util.DirectoryScanner.isParentSymbolicLink,25.0,25.0,0.0
org.codehaus.plexus.util.xml.Xpp3DomBuilder.build,90.0,50.0,40.0
org.codehaus.plexus.util.introspection.ReflectionValueExtractor$Tokenizer.nextToken,100.0,100.0,0.0
org.codehaus.plexus.util.introspection.MethodMap.find,83.33333,66.66667,16.666656
org.codehaus.plexus.util.cli.Commandline.execute,66.66667,16.666668,50.000004
org.codehaus.plexus.util.introspection.ClassMap.populateMethodCache,75.0,50.0,25.0
org.codehaus.plexus.util.cli.shell.Shell.getWorkingDirectory,100.0,50.0,50.0
org.codehaus.plexus.util.xml.Xpp3Dom.isEmpty,75.0,25.0,50.0
org.codehaus.plexus.util.cli.EnhancedStringTokenizer.isDelim,100.0,87.5,12.5
org.codehaus.plexus.util.dag.TopologicalSorter.dfs,100.0,50.0,50.0
org.codehaus.plexus.util.FileUtils.getFiles,100.0,50.0,50.0
org.codehaus.plexus.util.CollectionUtils.iteratorToList,75.0,50.0,25.0
org.codehaus.plexus.util.CollectionUtils.mergeMaps,66.66667,66.66667,0.0
org.codehaus.plexus.util.FileUtils.getFilesFromExtension,60.000004,20.0,40.000004
org.codehaus.plexus.util.IOUtil.close,80.0,40.0,40.0
org.codehaus.plexus.util.dag.CycleDetector.isNotVisited,75.0,50.0,25.0
org.codehaus.plexus.util.introspection.ReflectionValueExtractor$Tokenizer.skipChar,50.0,50.0,0.0
org.codehaus.plexus.util.FileUtils.byteCountToDisplaySize,100.0,100.0,0.0
org.codehaus.plexus.util.cli.Commandline$Argument.setLine,100.0,50.0,50.0
org.codehaus.plexus.util.SelectorUtils.matchAntPathPattern,75.0,58.333332,16.666668
org.codehaus.plexus.util.xml.pull.MXParser.parseStartTag,33.333336,16.666668,16.666668
org.codehaus.plexus.util.FileUtils.catPath,75.0,75.0,0.0
org.codehaus.plexus.util.FileUtils.fileRead,100.0,75.0,25.0
org.codehaus.plexus.util.xml.Xpp3Dom.getAttributeNames,75.0,75.0,0.0
org.codehaus.plexus.util.cli.EnhancedStringTokenizer.<init>,100.0,100.0,0.0
org.codehaus.plexus.util.xml.pull.MXParser.parsePI,41.428574,17.142859,24.285715
org.codehaus.plexus.util.xml.pull.MXParser.defineEntityReplacementText,78.57143,64.28571,14.285713
