method,missed_stmt,covered_stmt,total_stmts
org.codehaus.plexus.util.cli.Commandline.getExecutable,4,0,4
org.codehaus.plexus.util.xml.pull.MXParser.getLineNumber,0,1,1
org.codehaus.plexus.util.cli.Commandline.getSystemEnvVars,1,0,1
org.codehaus.plexus.util.xml.Xpp3Dom.mergeIntoXpp3Dom,1,40,41
org.codehaus.plexus.util.MatchPattern.matchPatternStart,0,4,4
org.codehaus.plexus.util.dag.Vertex.addEdgeTo,0,1,1
org.codehaus.plexus.util.DirectoryWalker.getExcludes,1,0,1
org.codehaus.plexus.util.reflection.Reflector._getMethod,5,21,26
org.codehaus.plexus.util.cli.Commandline.setExecutable,0,2,2
org.codehaus.plexus.util.xml.PrettyPrintXMLWriter.setDepth,0,1,1
org.codehaus.plexus.util.CachedMap.getCacheMissed,15,0,15
org.codehaus.plexus.util.xml.XmlStreamWriter.<init>,0,2,2
org.codehaus.plexus.util.xml.pull.MXParser.setFeature,15,0,15
org.codehaus.plexus.util.FastMap.toString,2,0,2
org.codehaus.plexus.util.DirectoryWalker.addDirectoryWalkListener,0,1,1
org.codehaus.plexus.util.FileUtils.extension,0,10,10
org.codehaus.plexus.util.xml.PrettyPrintXMLWriter.getWriter,0,1,1
org.codehaus.plexus.util.xml.XmlStreamWriter.write,0,3,3
org.codehaus.plexus.util.StringUtils.isAlphanumeric,7,0,7
org.codehaus.plexus.util.xml.Xpp3DomWriter.write,1,15,16
org.codehaus.plexus.util.StringUtils.chop,4,7,11
org.codehaus.plexus.util.DirectoryScanner.isParentSymbolicLink,3,2,5
org.codehaus.plexus.util.xml.pull.MXSerializer.attribute,19,0,19
org.codehaus.plexus.util.xml.SerializerXMLWriter.endElement,3,0,3
org.codehaus.plexus.util.ExceptionUtils.isNestedThrowable,16,0,16
org.codehaus.plexus.util.xml.Xpp3DomBuilder.build,10,51,61
org.codehaus.plexus.util.xml.pull.MXSerializer.closeStartTag,13,0,13
org.codehaus.plexus.util.Os.setName,1,0,1
org.codehaus.plexus.util.StringUtils.getNestedString,9,0,9
org.codehaus.plexus.util.cli.Commandline.execute,3,11,14
org.codehaus.plexus.util.FileUtils.mkDirs,7,0,7
org.codehaus.plexus.util.StringUtils.capitalizeFirstLetter,0,3,3
org.codehaus.plexus.util.cli.StreamPumper.getException,0,1,1
org.codehaus.plexus.util.xml.PrettyPrintXMLWriter.writeDocumentHeaders,4,6,10
org.codehaus.plexus.util.CachedMap.<init>,17,0,17
org.codehaus.plexus.util.cli.Commandline.addArg,4,0,4
org.codehaus.plexus.util.introspection.ReflectionValueExtractor.skipChar,0,1,1
org.codehaus.plexus.util.xml.pull.MXSerializer.endTag,33,0,33
org.codehaus.plexus.util.Base64.discardNonBase64,8,0,8
org.codehaus.plexus.util.InterpolationFilterReader.<init>,0,7,7
org.codehaus.plexus.util.NioFiles.isSymbolicLink,0,1,1
org.codehaus.plexus.util.StringUtils.contains,6,0,6
org.codehaus.plexus.util.SelectorUtils.matchAntPathPattern,21,109,130
org.codehaus.plexus.util.cli.DefaultConsumer.consumeLine,1,2,3
org.codehaus.plexus.util.xml.Xpp3Dom.setValue,0,1,1
org.codehaus.plexus.util.xml.Xpp3Dom.writeToSerializer,4,0,4
org.codehaus.plexus.util.xml.XmlReader.setDefaultEncoding,1,0,1
org.codehaus.plexus.util.StringUtils.reverse,3,0,3
org.codehaus.plexus.util.ReaderFactory.newXmlReader,1,2,3
org.codehaus.plexus.util.xml.pull.MXParser.isEmptyElementTag,1,2,3
org.codehaus.plexus.util.cli.shell.Shell.setSingleQuotedExecutableEscaped,0,1,1
org.codehaus.plexus.util.LineOrientedInterpolatingReader.replaceWithInterpolatedValues,0,7,7
org.codehaus.plexus.util.xml.pull.MXParser.reset,0,30,30
org.codehaus.plexus.util.DirectoryWalker.fireDebugMessage,2,0,2
org.codehaus.plexus.util.cli.shell.Shell.setShellArgs,0,2,2
org.codehaus.plexus.util.FileUtils.copyDirectoryStructure,6,21,27
org.codehaus.plexus.util.cli.shell.Shell.isQuotedArgumentsEnabled,0,1,1
org.codehaus.plexus.util.cli.shell.Shell.setExecutableQuoteDelimiter,0,1,1
org.codehaus.plexus.util.xml.pull.MXParser.getName,1,8,9
org.codehaus.plexus.util.cli.Commandline.setValue,0,2,2
org.codehaus.plexus.util.xml.pull.MXParser.parseCDSect,33,43,76
org.codehaus.plexus.util.dag.TopologicalSorter.dfsVisit,0,6,6
org.codehaus.plexus.util.dag.Vertex.getParentLabels,0,4,4
org.codehaus.plexus.util.cli.shell.Shell.clone,5,0,5
org.codehaus.plexus.util.FileUtils.normalize,0,20,20
org.codehaus.plexus.util.MatchPatterns.<init>,0,1,1
org.codehaus.plexus.util.reflection.Reflector.getStaticField,7,0,7
org.codehaus.plexus.util.xml.XmlUtil.prettyFormat,8,32,40
org.codehaus.plexus.util.xml.XmlStreamWriter.close,0,5,5
org.codehaus.plexus.util.FileUtils.getDefaultExcludes,1,0,1
org.codehaus.plexus.util.ExceptionUtils.getRootCause,6,0,6
org.codehaus.plexus.util.TypeFormat.<clinit>, line 497,4,0,4
org.codehaus.plexus.util.StringUtils.interpolate,11,0,11
org.codehaus.plexus.util.xml.pull.MXParser.isAttributeDefault,5,0,5
org.codehaus.plexus.util.xml.XmlStreamReaderException.<init>,2,0,2
org.codehaus.plexus.util.introspection.ClassMap.getAccessibleMethods,32,3,35
org.codehaus.plexus.util.xml.pull.MXParser.requireInput,1,4,5
org.codehaus.plexus.util.cli.StreamFeeder.getException,1,0,1
org.codehaus.plexus.util.FileUtils.waitFor,1,10,11
org.codehaus.plexus.util.xml.XmlReader.getEncoding,1,0,1
org.codehaus.plexus.util.reflection.Reflector.getField,7,12,19
org.codehaus.plexus.util.Base64.encodeBase64Chunked,1,0,1
org.codehaus.plexus.util.SelectorUtils.isRegexPrefixedPattern,0,1,1
org.codehaus.plexus.util.xml.pull.MXSerializer.entityRef,7,0,7
org.codehaus.plexus.util.DirectoryWalker.fireStep,0,5,5
org.codehaus.plexus.util.reflection.Reflector.getSingleton,8,0,8
org.codehaus.plexus.util.DirectoryWalker.addSCMExcludes,0,3,3
org.codehaus.plexus.util.introspection.ClassMap.getPublicMethod,16,3,19
org.codehaus.plexus.util.cli.shell.Shell.getExecutionPreamble,0,1,1
