class,sc,omc_sc,cov_gap
org.codehaus.plexus.util.PathTool,75.4386,61.403507,14.035091
org.codehaus.plexus.util.cli.shell.Shell,78.313255,30.120483,48.192772
org.codehaus.plexus.util.xml.pull.MXParser,56.186222,25.318878,30.867344
org.codehaus.plexus.util.dag.TopologicalSorter,100.0,83.33333,16.666672
org.codehaus.plexus.util.ReflectionUtils,53.333336,48.88889,4.4444466
org.codehaus.plexus.util.cli.AbstractStreamHandler,100.0,16.666668,83.33333
org.codehaus.plexus.util.IOUtil,72.38095,43.809525,28.571426
org.codehaus.plexus.util.ReaderFactory,22.222223,11.111112,11.111112
org.codehaus.plexus.util.xml.Xpp3Dom,80.29197,64.233574,16.058395
org.codehaus.plexus.util.xml.Xpp3DomBuilder,83.60656,63.93443,19.67213
org.codehaus.plexus.util.WriterFactory,33.333336,33.333336,0.0
org.codehaus.plexus.util.Os,83.09859,46.478874,36.619713
org.codehaus.plexus.util.dag.CycleDetectedException,100.0,30.000002,70.0
org.codehaus.plexus.util.cli.CommandLineUtils,77.24551,26.946106,50.2994
org.codehaus.plexus.util.cli.shell.CmdShell,100.0,37.5,62.5
org.codehaus.plexus.util.cli.EnhancedStringTokenizer,100.0,100.0,0.0
org.codehaus.plexus.util.cli.Commandline,60.645164,43.225807,17.419357
org.codehaus.plexus.util.dag.DAG,68.75,58.333332,10.416668
org.codehaus.plexus.util.cli.StreamPumper,67.441864,20.930233,46.51163
org.codehaus.plexus.util.xml.XmlStreamWriter,61.11111,52.77778,8.333332
org.codehaus.plexus.util.StringUtils,25.82897,16.055847,9.773123
org.codehaus.plexus.util.xml.XmlWriterUtil,82.608696,57.971012,24.637684
org.codehaus.plexus.util.xml.pull.EntityReplacementMap,86.666664,60.000004,26.66666
org.codehaus.plexus.util.MatchPattern,96.15385,84.61539,11.53846
org.codehaus.plexus.util.cli.shell.BourneShell,77.27273,20.454546,56.818184
org.codehaus.plexus.util.SelectorUtils,71.53558,60.29962,11.235962
org.codehaus.plexus.util.AbstractScanner,78.0,56.0,22.0
org.codehaus.plexus.util.reflection.Reflector,35.9375,23.958332,11.979168
org.codehaus.plexus.util.Java7Detector,83.33333,16.666668,66.66666
org.codehaus.plexus.util.MatchPatterns,75.0,75.0,0.0
org.codehaus.plexus.util.dag.Vertex,81.818184,72.72727,9.090912
org.codehaus.plexus.util.SweeperPool,92.64706,39.705883,52.941174
org.codehaus.plexus.util.NioFiles,11.111112,2.777778,8.333334
org.codehaus.plexus.util.introspection.MethodMap,33.00971,33.00971,0.0
org.codehaus.plexus.util.FileUtils,65.00888,26.465364,38.543518
org.codehaus.plexus.util.io.URLInputStreamFacade,100.0,100.0,0.0
org.codehaus.plexus.util.introspection.ReflectionValueExtractor,94.38203,73.03371,21.34832
org.codehaus.plexus.util.xml.Xpp3DomUtils,67.391304,41.304348,26.086956
org.codehaus.plexus.util.DirectoryWalker,63.809525,59.047623,4.761902
org.codehaus.plexus.util.xml.PrettyPrintXMLWriter,91.26214,13.592233,77.66991
org.codehaus.plexus.util.CollectionUtils,90.74074,85.18519,5.5555496
org.codehaus.plexus.util.DirectoryScanner,54.744522,33.576645,21.167877
org.codehaus.plexus.util.LineOrientedInterpolatingReader,84.496124,41.08527,43.410854
org.codehaus.plexus.util.dag.CycleDetector,75.675674,54.05405,21.621624
org.codehaus.plexus.util.introspection.ClassMap,41.22807,24.561403,16.666666
