method,sc,omc_sc,cov_gap
org.codehaus.plexus.util.dag.CycleDetectedException.<init>,100.0,50.0,50.0
org.codehaus.plexus.util.dag.DAG.getSuccessorLabels,71.42857,57.14286,14.285713
org.codehaus.plexus.util.xml.pull.EntityReplacementMap.defineEntityReplacementText,91.66667,58.333332,33.33334
org.codehaus.plexus.util.StringUtils.repeat,100.0,50.0,50.0
org.codehaus.plexus.util.xml.Xpp3Dom.mergeIntoXpp3Dom,97.560974,87.80488,9.756096
org.codehaus.plexus.util.DirectoryWalker.scan,35.714287,28.57143,7.1428566
org.codehaus.plexus.util.MatchPattern.matchPatternStart,100.0,50.0,50.0
org.codehaus.plexus.util.cli.Commandline.setWorkingDirectory,100.0,25.0,75.0
org.codehaus.plexus.util.FileUtils.deleteDirectory,66.66667,44.444447,22.222225
org.codehaus.plexus.util.dag.Vertex.addEdgeTo,100.0,100.0,0.0
org.codehaus.plexus.util.ReflectionUtils.getFieldByNameIncludingSuperclasses,100.0,71.42857,28.571426
org.codehaus.plexus.util.PathTool.buildRelativePath,92.85714,67.85714,25.0
org.codehaus.plexus.util.DirectoryWalker.addExclude,100.0,100.0,0.0
org.codehaus.plexus.util.reflection.Reflector._getMethod,80.769226,53.846157,26.923069
org.codehaus.plexus.util.dag.Vertex.getParents,100.0,100.0,0.0
org.codehaus.plexus.util.cli.Commandline.setExecutable,100.0,100.0,0.0
org.codehaus.plexus.util.xml.pull.MXParser.isSupplementaryCodePoint,100.0,100.0,0.0
org.codehaus.plexus.util.SelectorUtils.separatorPatternStartSlashMismatch,100.0,100.0,0.0
org.codehaus.plexus.util.cli.StreamPumper.<init>,85.71429,42.857143,42.857143
org.codehaus.plexus.util.DirectoryWalker.getNextPercentageSize,100.0,100.0,0.0
org.codehaus.plexus.util.PathTool.uppercaseDrive,80.0,60.000004,19.999996
org.codehaus.plexus.util.DirectoryWalker.fixPattern,83.33333,66.66667,16.666656
org.codehaus.plexus.util.xml.XmlStreamWriter.<init>,100.0,50.0,50.0
org.codehaus.plexus.util.xml.pull.MXParser.parseXmlDecl,85.71429,47.61905,38.095238
org.codehaus.plexus.util.DirectoryWalker.addDirectoryWalkListener,100.0,100.0,0.0
org.codehaus.plexus.util.xml.pull.MXParser.parseProlog,59.45946,21.621622,37.837837
org.codehaus.plexus.util.FileUtils.extension,100.0,90.0,10.0
org.codehaus.plexus.util.xml.PrettyPrintXMLWriter.getWriter,100.0,100.0,0.0
org.codehaus.plexus.util.xml.XmlStreamWriter.write,100.0,100.0,0.0
org.codehaus.plexus.util.FileUtils.toFile,100.0,80.0,20.0
org.codehaus.plexus.util.dag.DAG.addVertex,100.0,85.71429,14.285713
org.codehaus.plexus.util.FileUtils.copyStreamToFile,100.0,7.1428576,92.85714
org.codehaus.plexus.util.FileUtils.forceDelete,57.14286,42.857143,14.285717
org.codehaus.plexus.util.introspection.ReflectionValueExtractor.getIndexedValue,93.333336,73.333336,20.0
org.codehaus.plexus.util.DirectoryWalker.fireWalkFinished,100.0,100.0,0.0
org.codehaus.plexus.util.MatchPattern.getTokenizedPathChars,100.0,100.0,0.0
org.codehaus.plexus.util.StringUtils.chop,63.636364,63.636364,0.0
org.codehaus.plexus.util.PathTool.calculateLink,57.894737,47.368423,10.526314
org.codehaus.plexus.util.DirectoryScanner.isParentSymbolicLink,40.0,40.0,0.0
org.codehaus.plexus.util.dag.Vertex.addEdgeFrom,100.0,100.0,0.0
org.codehaus.plexus.util.StringUtils.lowercaseFirstLetter,100.0,33.333336,66.666664
org.codehaus.plexus.util.xml.Xpp3DomBuilder.build,83.60656,63.93443,19.67213
