package,total_assertion,exact_match(%),top_1(%),top_5(%),top_10(%),all_method_suggested(%)
com.thoughtworks.acceptance,102,28,28,60,60,64,
com.thoughtworks.xstream.io.binary,5,0,0,0,0,0,
com.thoughtworks.xstream.core.util,60,31,31,40,40,40,
com.thoughtworks.xstream.converters,0,0,0,0,0,0,
com.thoughtworks.xstream.converters.extended,19,5,5,6,6,6,
com.thoughtworks.xstream.persistence,99,45,45,45,45,45,
com.thoughtworks.xstream.io.xml,24,0,0,0,0,2,
com.thoughtworks.xstream.converters.basic,30,27,27,30,30,30,
com.thoughtworks.xstream.converters.javabean,11,2,2,2,2,2,
com.thoughtworks.xstream.mapper,77,1,1,38,38,39,
com.thoughtworks.xstream.io,13,0,0,0,0,0,
com.thoughtworks.xstream.io.copy,0,0,0,0,0,0,
com.thoughtworks.xstream.converters.collections,0,0,0,0,0,0,
com.thoughtworks.xstream,4,1,1,3,3,3,
com.thoughtworks.xstream.core,6,3,3,4,4,6,
com.thoughtworks.xstream.io.json,49,30,30,31,31,41,
com.thoughtworks.xstream.io.path,59,46,46,58,59,59,
com.thoughtworks.xstream.io.xml.xppdom,20,0,0,8,20,20,
