package,assertion_tested,exact_match,top_10,all_method_suggested
com.thoughtworks.acceptance,102,28,60,64
com.thoughtworks.xstream.io.binary,5,0,0,0
com.thoughtworks.xstream.core.util,60,31,40,40
com.thoughtworks.xstream.converters,0,0,0,0
com.thoughtworks.xstream.converters.extended,19,5,6,6
com.thoughtworks.xstream.persistence,99,45,45,45
com.thoughtworks.xstream.io.xml,24,0,0,2
com.thoughtworks.xstream.converters.basic,30,27,30,30
com.thoughtworks.xstream.converters.javabean,11,2,2,2
com.thoughtworks.xstream.mapper,77,1,38,39
com.thoughtworks.xstream.io,13,0,0,0
com.thoughtworks.xstream.io.copy,0,0,0,0
com.thoughtworks.xstream.converters.collections,0,0,0,0
com.thoughtworks.xstream,4,1,3,3
com.thoughtworks.xstream.core,6,3,4,6
com.thoughtworks.xstream.io.json,49,30,31,41
com.thoughtworks.xstream.io.path,59,46,59,59
com.thoughtworks.xstream.io.xml.xppdom,20,0,20,20
total:,578,219,338,357
