class,missed_stmt,covered_stmt,total_stmts
com.thoughtworks.xstream.XStream,164,480,644
com.thoughtworks.xstream.io.json.JsonWriter,22,74,96
com.thoughtworks.xstream.converters.extended.StackTraceElementFactory,0,12,12
com.thoughtworks.xstream.converters.basic.StringBuilderConverter,0,2,2
com.thoughtworks.xstream.io.xml.JDomDriver,23,9,32
com.thoughtworks.xstream.io.json.JettisonMappedXmlDriver,29,12,41
com.thoughtworks.xstream.converters.reflection.XStream12FieldKeySorter,0,11,11
com.thoughtworks.xstream.converters.time.ValueRangeConverter,24,0,24
com.thoughtworks.xstream.mapper.SystemAttributeAliasingMapper,0,7,7
com.thoughtworks.xstream.converters.time.ChronologyConverter,9,0,9
com.thoughtworks.xstream.security.ProxyTypePermission,1,2,3
com.thoughtworks.xstream.converters.extended.EncodedByteArrayConverter,0,24,24
com.thoughtworks.xstream.io.xml.Dom4JDriver,23,19,42
com.thoughtworks.xstream.converters.ErrorReporter,0,0,0
com.thoughtworks.xstream.io.xml.XppReader,14,35,49
com.thoughtworks.xstream.converters.extended.CurrencyConverter,0,2,2
com.thoughtworks.xstream.security.NoPermission,0,4,4
com.thoughtworks.xstream.converters.reflection.SelfStreamingInstanceChecker,1,0,1
com.thoughtworks.xstream.core.util.Base64Encoder,2,38,40
com.thoughtworks.xstream.converters.Converter,0,0,0
com.thoughtworks.xstream.converters.time.JapaneseDateConverter,4,0,4
com.thoughtworks.xstream.core.util.Cloneables,2,17,19
com.thoughtworks.xstream.core.util.SerializationMembers,27,78,105
com.thoughtworks.xstream.security.TypePermission,0,0,0
com.thoughtworks.xstream.converters.basic.BigDecimalConverter,0,2,2
com.thoughtworks.xstream.converters.SingleValueConverter,0,0,0
com.thoughtworks.xstream.converters.MarshallingContext,0,0,0
com.thoughtworks.xstream.io.xml.XomReader,8,19,27
com.thoughtworks.xstream.mapper.OuterClassMapper,1,36,37
com.thoughtworks.xstream.persistence.PersistenceStrategy,0,0,0
com.thoughtworks.xstream.io.json.AbstractJsonWriter,50,224,274
com.thoughtworks.xstream.io.HierarchicalStreamReader,0,0,0
com.thoughtworks.xstream.persistence.StreamStrategy,0,0,0
com.thoughtworks.xstream.core.util.CompositeClassLoader,9,37,46
com.thoughtworks.xstream.io.binary.ReaderDepthState,3,37,40
com.thoughtworks.xstream.security.WildcardTypePermission,9,29,38
com.thoughtworks.xstream.converters.ConverterLookup,0,0,0
com.thoughtworks.xstream.io.binary.BinaryStreamReader,21,69,90
com.thoughtworks.xstream.mapper.ClassAliasingMapper,3,28,31
com.thoughtworks.xstream.converters.time.MinguoDateConverter,4,0,4
com.thoughtworks.xstream.io.xml.CompactWriter,5,1,6
com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,3,434,437
com.thoughtworks.xstream.io.ReaderWrapper,6,11,17
com.thoughtworks.xstream.converters.time.LocalDateTimeConverter,11,0,11
com.thoughtworks.xstream.mapper.CannotResolveClassException,1,1,2
com.thoughtworks.xstream.io.json.JsonHierarchicalStreamDriver,6,4,10
com.thoughtworks.xstream.core.util.ThreadSafePropertyEditor,5,18,23
com.thoughtworks.xstream.converters.reflection.FieldDictionary,14,58,72
com.thoughtworks.xstream.io.AbstractReader,3,5,8
com.thoughtworks.xstream.io.xml.XmlFriendlyWriter,0,0,0
com.thoughtworks.xstream.mapper.AnnotationConfiguration,0,0,0
com.thoughtworks.xstream.mapper.EnumMapper,5,31,36
com.thoughtworks.xstream.io.naming.NameCoder,0,0,0
com.thoughtworks.xstream.core.util.FastStack,11,16,27
com.thoughtworks.xstream.io.xml.StaxReader,9,24,33
com.thoughtworks.xstream.converters.extended.PathConverter,15,1,16
com.thoughtworks.xstream.converters.ConversionException,0,3,3
com.thoughtworks.xstream.io.xml.XmlFriendlyReader,0,0,0
com.thoughtworks.xstream.mapper.MapperWrapper,6,84,90
com.thoughtworks.xstream.mapper.Mapper,0,0,0
com.thoughtworks.xstream.io.StatefulWriter,2,39,41
com.thoughtworks.xstream.io.xml.JDomWriter,6,13,19
com.thoughtworks.xstream.converters.extended.FileConverter,0,3,3
com.thoughtworks.xstream.converters.extended.ISO8601GregorianCalendarConverter,0,8,8
com.thoughtworks.xstream.core.util.ObjectIdDictionary,5,20,25
com.thoughtworks.xstream.mapper.CGLIBMapper,9,0,9
com.thoughtworks.xstream.converters.extended.SqlTimestampConverter,3,23,26
com.thoughtworks.xstream.core.util.SelfStreamingInstanceChecker,3,8,11
com.thoughtworks.xstream.converters.UnmarshallingContext,0,0,0
com.thoughtworks.xstream.mapper.SecurityMapper,0,12,12
com.thoughtworks.xstream.converters.extended.ColorConverter,0,15,15
com.thoughtworks.xstream.core.ReferenceByIdMarshaller,0,8,8
com.thoughtworks.xstream.converters.extended.DurationConverter,1,6,7
com.thoughtworks.xstream.converters.basic.DoubleConverter,0,2,2
com.thoughtworks.xstream.core.util.ISO8601JavaTimeConverter,91,0,91
com.thoughtworks.xstream.io.xml.Xpp3DomDriver,1,2,3
com.thoughtworks.xstream.converters.collections.CharArrayConverter,0,4,4
com.thoughtworks.xstream.converters.extended.LookAndFeelConverter,0,2,2
com.thoughtworks.xstream.converters.reflection.LambdaConverter,4,0,4
com.thoughtworks.xstream.converters.collections.ArrayConverter,0,15,15
com.thoughtworks.xstream.converters.time.OffsetDateTimeConverter,11,0,11
com.thoughtworks.xstream.converters.time.ZonedDateTimeConverter,11,0,11
com.thoughtworks.xstream.core.util.TypedNull,0,3,3
com.thoughtworks.xstream.converters.extended.JavaMethodConverter,2,46,48
com.thoughtworks.xstream.converters.enums.EnumConverter,5,7,12
com.thoughtworks.xstream.annotations.XStreamAsAttribute,0,0,0
com.thoughtworks.xstream.converters.collections.MapConverter,1,27,28
com.thoughtworks.xstream.io.json.JsonHierarchicalStreamWriter,5,0,5
com.thoughtworks.xstream.XStreamer,18,29,47
com.thoughtworks.xstream.core.util.Primitives,0,15,15
com.thoughtworks.xstream.security.NoTypePermission,1,2,3
com.thoughtworks.xstream.converters.enums.EnumToStringConverter,6,24,30
com.thoughtworks.xstream.converters.extended.ISO8601DateConverter,0,5,5
com.thoughtworks.xstream.security.NullPermission,0,1,1
com.thoughtworks.xstream.io.HierarchicalStreamWriter,0,0,0
com.thoughtworks.xstream.core.util.WeakCache,8,54,62
com.thoughtworks.xstream.io.xml.XppDriver,0,7,7
com.thoughtworks.xstream.converters.reflection.FieldUtil15,0,1,1
com.thoughtworks.xstream.converters.basic.AbstractSingleValueConverter,0,1,1
com.thoughtworks.xstream.converters.reflection.FieldUtil14,1,0,1
com.thoughtworks.xstream.core.AbstractReferenceUnmarshaller,0,31,31
com.thoughtworks.xstream.converters.reflection.SunLimitedUnsafeReflectionProvider,13,17,30
com.thoughtworks.xstream.io.xml.Xpp3Driver,1,2,3
com.thoughtworks.xstream.core.util.CustomObjectOutputStream,21,31,52
com.thoughtworks.xstream.security.TypeHierarchyPermission,1,3,4
com.thoughtworks.xstream.core.util.OrderRetainingMap,6,23,29
com.thoughtworks.xstream.annotations.AnnotationProvider,0,1,1
com.thoughtworks.xstream.io.xml.Dom4JReader,9,13,22
com.thoughtworks.xstream.io.xml.XomDriver,28,9,37
com.thoughtworks.xstream.mapper.DynamicProxyMapper,2,9,11
com.thoughtworks.xstream.converters.enums.EnumMapConverter,1,13,14
com.thoughtworks.xstream.converters.time.WeekFieldsConverter,28,0,28
com.thoughtworks.xstream.converters.basic.ByteConverter,1,4,5
com.thoughtworks.xstream.converters.extended.LocaleConverter,0,20,20
com.thoughtworks.xstream.converters.collections.TreeSetConverter,17,41,58
com.thoughtworks.xstream.io.ExtendedHierarchicalStreamWriterHelper,1,2,3
com.thoughtworks.xstream.core.BaseException,1,1,2
com.thoughtworks.xstream.annotations.XStreamImplicitCollection,0,0,0
com.thoughtworks.xstream.io.xml.XppDomReader,4,15,19
com.thoughtworks.xstream.converters.collections.PropertiesConverter,0,32,32
com.thoughtworks.xstream.core.TreeMarshaller,6,31,37
com.thoughtworks.xstream.converters.ConverterRegistry,0,0,0
com.thoughtworks.xstream.io.xml.StandardStaxDriver,20,8,28
com.thoughtworks.xstream.core.TreeUnmarshaller,7,44,51
com.thoughtworks.xstream.io.xml.DomWriter,3,18,21
com.thoughtworks.xstream.converters.reflection.Sun14ReflectionProvider,4,0,4
com.thoughtworks.xstream.core.ReferenceByXPathMarshaller,0,6,6
com.thoughtworks.xstream.converters.time.ZoneIdConverter,12,0,12
com.thoughtworks.xstream.mapper.AnnotationMapper,49,233,282
com.thoughtworks.xstream.converters.extended.JavaFieldConverter,2,24,26
com.thoughtworks.xstream.security.PrimitiveTypePermission,1,2,3
com.thoughtworks.xstream.io.binary.BinaryStreamWriter,7,15,22
com.thoughtworks.xstream.io.xml.StaxWriter,9,50,59
com.thoughtworks.xstream.converters.basic.UUIDConverter,1,3,4
com.thoughtworks.xstream.InitializationException,0,2,2
com.thoughtworks.xstream.converters.time.LocalDateConverter,6,0,6
com.thoughtworks.xstream.converters.extended.SubjectConverter,0,34,34
com.thoughtworks.xstream.annotations.XStreamImplicit,0,0,0
com.thoughtworks.xstream.core.util.PresortedMap,34,16,50
com.thoughtworks.xstream.mapper.DefaultMapper,11,33,44
com.thoughtworks.xstream.converters.basic.StringConverter,0,13,13
com.thoughtworks.xstream.mapper.ImmutableTypesMapper,1,11,12
