method,missed_stmt,covered_stmt,total_stmts
com.thoughtworks.xstream.mapper.PackageAliasingMapper.<init>,0,1,1
com.thoughtworks.xstream.io.json.JsonWriter.startArray,0,4,4
com.thoughtworks.xstream.converters.reflection.FieldDictionary.fieldsFor,0,1,1
com.thoughtworks.xstream.core.util.Base64Encoder.decode,1,10,11
com.thoughtworks.xstream.core.ReferenceByIdMarshaller.fireValidReference,0,3,3
com.thoughtworks.xstream.io.xml.XppDomReader.reassignCurrentElement,0,1,1
com.thoughtworks.xstream.security.ArrayTypePermission.equals,0,1,1
com.thoughtworks.xstream.converters.reflection.FieldDictionary.readResolve,0,2,2
com.thoughtworks.xstream.core.util.XmlHeaderAwareReader.mark,1,0,1
com.thoughtworks.xstream.io.json.JsonWriter.writeNewLine,0,5,5
com.thoughtworks.xstream.mapper.DefaultMapper.serializedMember,0,1,1
com.thoughtworks.xstream.converters.reflection.SerializableConverter.flush,1,0,1
com.thoughtworks.xstream.converters.basic.StringBufferConverter.canConvert,0,1,1
com.thoughtworks.xstream.converters.reflection.SerializationMethodInvoker.supportsWriteObject,1,0,1
com.thoughtworks.xstream.io.xml.XppReader.<init>,2,14,16
com.thoughtworks.xstream.core.JVM.loadClassForName,0,6,6
com.thoughtworks.xstream.converters.reflection.ObjectAccessException.<init>,1,1,2
com.thoughtworks.xstream.converters.extended.ThrowableConverter.marshal,0,6,6
com.thoughtworks.xstream.io.naming.NameCoderWrapper.decodeNode,1,0,1
com.thoughtworks.xstream.converters.ConverterRegistry.null,0,0,0
com.thoughtworks.xstream.io.xml.StaxWriter.setValue,1,2,3
com.thoughtworks.xstream.io.xml.DomReader.getAttributeCount,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.flush,0,1,1
com.thoughtworks.xstream.XStream.aliasSystemAttribute,1,2,3
com.thoughtworks.xstream.converters.reflection.Sun14ReflectionProvider.<init>,2,0,2
com.thoughtworks.xstream.io.xml.xppdom.XppDom.getAttribute,0,1,1
com.thoughtworks.xstream.io.path.PathTrackingWriter.<init>,0,3,3
com.thoughtworks.xstream.converters.reflection.ReflectionConverter.<init>,2,1,3
com.thoughtworks.xstream.io.xml.TraxSource.createXMLReader,8,3,11
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.pushCallback,0,1,1
com.thoughtworks.xstream.converters.reflection.ReflectionProviderWrapper.getField,0,1,1
com.thoughtworks.xstream.converters.collections.AbstractCollectionConverter.writeNullItem,0,3,3
com.thoughtworks.xstream.io.ReaderWrapper.getValue,0,1,1
com.thoughtworks.xstream.io.binary.BinaryStreamReader.put,0,1,1
com.thoughtworks.xstream.io.xml.Dom4JDriver.getOutputFormat,1,0,1
com.thoughtworks.xstream.XStreamer.fromXML,16,16,32
com.thoughtworks.xstream.io.binary.BinaryStreamWriter.close,3,0,3
com.thoughtworks.xstream.mapper.DefaultMapper.getFieldNameForItemTypeAndName,1,0,1
com.thoughtworks.xstream.converters.extended.JavaClassConverter.toString,0,1,1
com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter.readCallback,5,0,5
com.thoughtworks.xstream.io.xml.JDom2Reader.getParent,0,1,1
com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter.unmarshal,22,43,65
com.thoughtworks.xstream.core.util.CustomObjectInputStream.mark,1,0,1
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy.containsKey,0,2,2
com.thoughtworks.xstream.converters.extended.SubjectConverter.marshalReadOnly,0,3,3
com.thoughtworks.xstream.converters.basic.BooleanConverter.canConvert,0,1,1
com.thoughtworks.xstream.core.util.ObjectIdDictionary.get,1,0,1
com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter.getCallbacks,22,0,22
com.thoughtworks.xstream.XStream.setMode,2,19,21
com.thoughtworks.xstream.converters.time.ZonedDateTimeConverter.canConvert,1,0,1
com.thoughtworks.xstream.converters.collections.MapConverter.<init>,1,4,5
com.thoughtworks.xstream.core.util.PresortedSet.<init>,2,3,5
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper.getOrCreateMapper,0,5,5
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy.getFile,0,1,1
com.thoughtworks.xstream.converters.extended.JavaClassConverter.fromString,1,2,3
com.thoughtworks.xstream.io.xml.StaxWriter.getQNameMap,0,1,1
com.thoughtworks.xstream.persistence.XmlArrayList.size,0,1,1
com.thoughtworks.xstream.io.json.AbstractJsonWriter.startNode,1,5,6
com.thoughtworks.xstream.core.util.CustomObjectInputStream.readShort,1,0,1
com.thoughtworks.xstream.io.StreamException.<init>,1,2,3
com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter.canConvert,0,1,1
com.thoughtworks.xstream.core.util.WeakCache.<init>,0,2,2
com.thoughtworks.xstream.converters.reflection.PureJavaReflectionProvider.getFieldType,0,1,1
