class,sc,omc_sc,cov_gap
com.thoughtworks.xstream.XStream,74.53416,39.751553,34.782604
com.thoughtworks.xstream.io.json.JettisonMappedXmlDriver,29.268291,2.4390242,26.829268
com.thoughtworks.xstream.mapper.SystemAttributeAliasingMapper,100.0,14.285715,85.71429
com.thoughtworks.xstream.converters.extended.EncodedByteArrayConverter,100.0,4.166667,95.833336
com.thoughtworks.xstream.io.xml.Dom4JDriver,45.238094,11.904762,33.333332
com.thoughtworks.xstream.io.xml.XppReader,71.42857,40.816326,30.612247
com.thoughtworks.xstream.security.NoPermission,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.Base64Encoder,95.0,25.0,70.0
com.thoughtworks.xstream.core.util.Cloneables,89.47369,78.94737,10.526314
com.thoughtworks.xstream.core.util.SerializationMembers,74.28571,37.142857,37.142857
com.thoughtworks.xstream.io.xml.XomReader,70.37037,7.4074073,62.962963
com.thoughtworks.xstream.mapper.OuterClassMapper,97.2973,5.4054055,91.8919
com.thoughtworks.xstream.core.util.CompositeClassLoader,80.434784,32.608696,47.826088
com.thoughtworks.xstream.io.binary.ReaderDepthState,92.5,10.0,82.5
com.thoughtworks.xstream.security.WildcardTypePermission,76.31579,34.210526,42.105263
com.thoughtworks.xstream.mapper.ClassAliasingMapper,90.32258,32.258064,58.064514
com.thoughtworks.xstream.io.binary.BinaryStreamReader,76.666664,35.555557,41.111107
com.thoughtworks.xstream.io.xml.CompactWriter,16.666668,16.666668,0.0
com.thoughtworks.xstream.io.ReaderWrapper,64.70589,58.823532,5.8823547
com.thoughtworks.xstream.mapper.CannotResolveClassException,50.0,50.0,0.0
com.thoughtworks.xstream.core.util.ThreadSafePropertyEditor,78.26087,56.521736,21.739136
com.thoughtworks.xstream.converters.reflection.FieldDictionary,80.55556,62.5,18.055557
com.thoughtworks.xstream.mapper.EnumMapper,86.11111,30.555555,55.55555
com.thoughtworks.xstream.io.AbstractReader,62.5,50.0,12.5
com.thoughtworks.xstream.core.util.FastStack,59.25926,51.851852,7.407406
com.thoughtworks.xstream.io.xml.StaxReader,72.72727,15.151516,57.575756
com.thoughtworks.xstream.converters.ConversionException,100.0,100.0,0.0
com.thoughtworks.xstream.mapper.MapperWrapper,93.333336,70.0,23.333336
com.thoughtworks.xstream.io.StatefulWriter,95.12195,80.48781,14.63414
com.thoughtworks.xstream.io.xml.JDomWriter,68.42105,26.31579,42.105263
com.thoughtworks.xstream.converters.extended.FileConverter,100.0,33.333336,66.666664
com.thoughtworks.xstream.converters.extended.ISO8601GregorianCalendarConverter,100.0,62.5,37.5
com.thoughtworks.xstream.core.util.ObjectIdDictionary,80.0,48.0,32.0
com.thoughtworks.xstream.core.util.SelfStreamingInstanceChecker,72.72727,36.363636,36.363636
com.thoughtworks.xstream.mapper.SecurityMapper,100.0,100.0,0.0
com.thoughtworks.xstream.converters.extended.ColorConverter,100.0,6.666667,93.333336
com.thoughtworks.xstream.core.ReferenceByIdMarshaller,100.0,25.0,75.0
