method,sc,omc_sc,cov_gap
com.thoughtworks.xstream.mapper.EnumMapper.serializedClass,100.0,57.14286,42.85714
com.thoughtworks.xstream.core.util.XmlHeaderAwareReader.getEncoding,100.0,100.0,0.0
com.thoughtworks.xstream.persistence.XmlArrayList.<init>,100.0,100.0,0.0
com.thoughtworks.xstream.core.ReferenceByXPathUnmarshaller.getCurrentReferenceKey,100.0,100.0,0.0
com.thoughtworks.xstream.io.WriterWrapper.flush,100.0,100.0,0.0
com.thoughtworks.xstream.mapper.PackageAliasingMapper.<init>,100.0,100.0,0.0
com.thoughtworks.xstream.io.binary.BinaryStreamReader.moveUp,68.0,24.0,44.0
com.thoughtworks.xstream.converters.reflection.ImmutableFieldKeySorter.sort,100.0,100.0,0.0
com.thoughtworks.xstream.converters.reflection.FieldDictionary.fieldsFor,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.WeakCache.getKey,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.ThreadSafeSimpleDateFormat.fetchFromPool,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.CompositeClassLoader.loadClass,100.0,100.0,0.0
com.thoughtworks.xstream.io.xml.XppDomReader.reassignCurrentElement,100.0,100.0,0.0
com.thoughtworks.xstream.mapper.CannotResolveClassException.<init>,50.0,50.0,0.0
com.thoughtworks.xstream.io.xml.xppdom.XppDom.addChild,100.0,33.333336,66.666664
com.thoughtworks.xstream.XStream.newDataHolder,100.0,100.0,0.0
com.thoughtworks.xstream.io.xml.PrettyPrintWriter.startNode,100.0,81.818184,18.181816
com.thoughtworks.xstream.io.xml.AbstractDocumentReader.hasMoreChildren,100.0,100.0,0.0
com.thoughtworks.xstream.converters.extended.ThrowableConverter.getConverter,100.0,100.0,0.0
com.thoughtworks.xstream.io.path.PathTracker.getPath,100.0,100.0,0.0
com.thoughtworks.xstream.mapper.SecurityMapper.addPermission,100.0,100.0,0.0
com.thoughtworks.xstream.io.path.Path.toString,100.0,71.42857,28.571426
com.thoughtworks.xstream.io.xml.XppReader.<init>,87.5,68.75,18.75
com.thoughtworks.xstream.io.xml.xppdom.XppDomComparator.compareInternal,98.24561,57.894737,40.350876
com.thoughtworks.xstream.core.JVM.loadClassForName,100.0,66.66667,33.33333
com.thoughtworks.xstream.io.AbstractReader.<init>,50.0,50.0,0.0
com.thoughtworks.xstream.converters.reflection.ObjectAccessException.<init>,50.0,50.0,0.0
com.thoughtworks.xstream.io.path.PathTracker.resizeStacks,100.0,62.5,37.5
com.thoughtworks.xstream.converters.extended.ThrowableConverter.marshal,100.0,83.33333,16.666672
com.thoughtworks.xstream.io.path.Path.equals,63.636364,63.636364,0.0
com.thoughtworks.xstream.converters.collections.ArrayConverter.unmarshal,100.0,88.88889,11.111107
com.thoughtworks.xstream.converters.reflection.FieldKey.<init>,90.909096,18.181818,72.72728
com.thoughtworks.xstream.io.xml.DomWriter.createNode,100.0,62.5,37.5
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy.size,100.0,100.0,0.0
com.thoughtworks.xstream.io.xml.PrettyPrintWriter.flush,100.0,100.0,0.0
com.thoughtworks.xstream.persistence.FilePersistenceStrategy.getName,70.0,60.000004,9.999996
com.thoughtworks.xstream.io.xml.AbstractDocumentWriter.startNode,100.0,100.0,0.0
